sensor1	sensor2	sensor3	sensor4	
52.4	32.8	37.7	-16.4	
79.5	62.3	-4.1	-11.5	
104.1	104.1	-26.3	20.5	
106.6	113.9	-55.8	20.5	
91.8	77.0	-16.4	18.0	
77.0	50.0	30.3	25.4	
79.5	57.4	52.4	13.1	
59.8	54.9	47.5	0.8	
30.3	35.2	30.3	-4.1	
8.2	40.1	22.9	10.6	
-6.6	25.4	-41.0	-6.6	
5.7	-9.1	-33.7	8.2	
13.1	40.1	-26.3	3.2	
32.8	42.6	-11.5	-1.7	
42.6	74.6	-1.7	-6.6	
50.0	10.6	-11.5	-4.1	
32.8	-50.9	-16.4	0.8	
30.3	-75.5	13.1	-4.1	
30.3	-53.3	37.7	-1.7	
42.6	13.1	30.3	8.2	
32.8	47.5	54.9	-4.1	
13.1	64.7	45.1	-6.6	
10.6	64.7	27.8	-4.1	
15.5	35.2	25.4	3.2	
22.9	8.2	18.0	13.1	
32.8	20.5	13.1	35.2	
52.4	101.6	13.1	30.3	
82.0	138.5	30.3	20.5	
64.7	113.9	15.5	-16.4	
69.7	111.5	0.8	-9.1	
79.5	82.0	3.2	8.2	
74.6	5.7	-1.7	15.5	
67.2	-134.5	3.2	13.1	
72.1	-137.0	13.1	10.6	
79.5	-87.8	35.2	-6.6	
62.3	-31.2	37.7	13.1	
50.0	-4.1	25.4	15.5	
35.2	30.3	37.7	0.8	
35.2	27.8	35.2	0.8	
35.2	50.0	35.2	-1.7	
45.1	15.5	13.1	-16.4	
47.5	0.8	8.2	-1.7	
35.2	0.8	-11.5	20.5	
47.5	67.2	-11.5	15.5	
57.4	99.2	-18.9	3.2	
45.1	57.4	-14.0	3.2	
42.6	37.7	0.8	10.6	
45.1	30.3	20.5	0.8	
45.1	20.5	20.5	20.5	
50.0	20.5	15.5	0.8	
54.9	22.9	15.5	-6.6	
52.4	18.0	13.1	8.2	
45.1	25.4	18.0	-9.1	
54.9	30.3	20.5	-6.6	
42.6	30.3	25.4	-1.7	
42.6	20.5	18.0	0.8	
59.8	8.2	-14.0	0.8	
52.4	-11.5	5.7	-1.7	
47.5	-11.5	3.2	3.2	
47.5	-18.9	-11.5	8.2	
64.7	3.2	-23.8	13.1	
62.3	13.1	20.5	15.5	
50.0	10.6	64.7	8.2	
57.4	5.7	47.5	10.6	
40.1	8.2	32.8	10.6	
50.0	52.4	3.2	5.7	
50.0	118.9	8.2	0.8	
47.5	82.0	15.5	-1.7	
25.4	30.3	37.7	0.8	
8.2	-1.7	50.0	3.2	
-14.0	64.7	40.1	8.2	
-53.3	18.0	-6.6	8.2	
-41.0	20.5	-38.6	5.7	
-16.4	113.9	-38.6	13.1	
42.6	123.8	-43.5	10.6	
79.5	123.8	-6.6	0.8	
128.7	72.1	-9.1	5.7	
160.7	118.9	-9.1	10.6	
190.2	96.7	0.8	-6.6	
195.1	91.8	30.3	0.8	
111.5	-1.7	3.2	-1.7	
67.2	-68.1	8.2	27.8	
40.1	-36.1	-9.1	10.6	
37.7	-77.9	5.7	13.1	
