sensor1	sensor2	sensor3	sensor4	
8.2	42.6	5.7	5.7	
8.2	37.7	5.7	-4.1	
8.2	32.8	-1.7	10.6	
8.2	30.3	-9.1	-9.1	
8.2	20.5	-11.5	0.8	
5.7	25.4	-11.5	10.6	
0.8	30.3	-1.7	13.1	
15.5	37.7	25.4	10.6	
13.1	42.6	25.4	-4.1	
22.9	40.1	35.2	-4.1	
22.9	37.7	22.9	0.8	
27.8	42.6	-11.5	18.0	
22.9	20.5	-9.1	32.8	
20.5	15.5	-11.5	18.0	
15.5	22.9	3.2	15.5	
20.5	50.0	15.5	5.7	
22.9	84.4	10.6	3.2	
25.4	57.4	3.2	-6.6	
27.8	32.8	0.8	0.8	
22.9	35.2	5.7	5.7	
10.6	27.8	0.8	3.2	
-1.7	32.8	8.2	-6.6	
-9.1	8.2	13.1	-18.9	
-6.6	-26.3	25.4	5.7	
5.7	-11.5	8.2	-1.7	
18.0	-23.8	-1.7	18.0	
13.1	8.2	0.8	27.8	
25.4	18.0	5.7	25.4	
15.5	30.3	-11.5	-4.1	
18.0	67.2	5.7	-14.0	
5.7	40.1	0.8	0.8	
13.1	32.8	-1.7	18.0	
22.9	52.4	-4.1	18.0	
22.9	64.7	-1.7	3.2	
18.0	72.1	5.7	-1.7	
15.5	62.3	13.1	-4.1	
22.9	18.0	0.8	-28.7	
18.0	13.1	3.2	-23.8	
32.8	30.3	13.1	10.6	
30.3	45.1	5.7	13.1	
20.5	27.8	-14.0	27.8	
30.3	27.8	-11.5	25.4	
8.2	32.8	-16.4	35.2	
-1.7	52.4	15.5	30.3	
5.7	77.0	45.1	18.0	
5.7	50.0	32.8	15.5	
22.9	13.1	15.5	13.1	
20.5	3.2	30.3	13.1	
30.3	15.5	20.5	20.5	
37.7	-6.6	20.5	13.1	
22.9	-36.1	20.5	20.5	
15.5	-43.5	18.0	25.4	
18.0	10.6	20.5	8.2	
20.5	27.8	30.3	0.8	
8.2	22.9	5.7	-1.7	
0.8	40.1	0.8	0.8	
8.2	20.5	-14.0	5.7	
13.1	25.4	-28.7	5.7	
10.6	50.0	-18.9	5.7	
20.5	8.2	-4.1	0.8	
25.4	13.1	-1.7	13.1	
20.5	42.6	15.5	8.2	
20.5	40.1	10.6	10.6	
13.1	57.4	13.1	-9.1	
18.0	54.9	8.2	-11.5	
5.7	45.1	8.2	-6.6	
3.2	22.9	-1.7	-11.5	
5.7	27.8	-18.9	15.5	
10.6	30.3	-6.6	30.3	
3.2	20.5	-6.6	25.4	
5.7	-4.1	-4.1	18.0	
15.5	-21.4	8.2	32.8	
25.4	-18.9	20.5	32.8	
15.5	22.9	20.5	15.5	
25.4	35.2	20.5	-4.1	
27.8	52.4	20.5	-6.6	
