sensor1	sensor2	sensor3	sensor4	
74.6	22.9	-4.1	3.2	
50.0	27.8	-1.7	10.6	
42.6	25.4	-4.1	-9.1	
8.2	13.1	13.1	-4.1	
-38.6	20.5	0.8	13.1	
-85.3	18.0	0.8	15.5	
-70.6	35.2	-1.7	0.8	
-36.1	18.0	5.7	-1.7	
10.6	25.4	3.2	8.2	
10.6	45.1	3.2	0.8	
25.4	54.9	5.7	8.2	
30.3	52.4	-1.7	0.8	
27.8	47.5	3.2	5.7	
18.0	72.1	5.7	0.8	
18.0	64.7	0.8	3.2	
13.1	45.1	0.8	15.5	
13.1	20.5	-9.1	5.7	
13.1	-21.4	3.2	-6.6	
42.6	-14.0	0.8	8.2	
37.7	-11.5	10.6	0.8	
25.4	-31.2	-9.1	3.2	
27.8	-16.4	-4.1	3.2	
37.7	15.5	-1.7	27.8	
15.5	30.3	0.8	-6.6	
15.5	15.5	0.8	-31.2	
20.5	22.9	8.2	-9.1	
35.2	30.3	-1.7	-4.1	
52.4	20.5	-1.7	5.7	
62.3	-9.1	-11.5	0.8	
32.8	-6.6	0.8	3.2	
45.1	3.2	3.2	27.8	
37.7	37.7	0.8	20.5	
37.7	69.7	10.6	5.7	
8.2	54.9	8.2	-16.4	
5.7	27.8	0.8	-18.9	
5.7	37.7	8.2	13.1	
-4.1	40.1	8.2	27.8	
8.2	30.3	-1.7	27.8	
35.2	35.2	3.2	0.8	
45.1	40.1	0.8	-18.9	
42.6	37.7	3.2	-9.1	
25.4	47.5	3.2	8.2	
15.5	52.4	-4.1	8.2	
20.5	52.4	5.7	15.5	
-16.4	45.1	-4.1	20.5	
-1.7	47.5	3.2	8.2	
30.3	37.7	18.0	-6.6	
74.6	27.8	5.7	3.2	
64.7	15.5	0.8	5.7	
54.9	-1.7	3.2	-4.1	
62.3	-9.1	-4.1	0.8	
42.6	10.6	3.2	0.8	
13.1	8.2	3.2	3.2	
-9.1	10.6	8.2	0.8	
-46.0	18.0	5.7	-21.4	
-60.7	22.9	5.7	3.2	
-36.1	15.5	5.7	-4.1	
-31.2	0.8	0.8	3.2	
-9.1	13.1	5.7	-6.6	
15.5	20.5	13.1	-16.4	
57.4	32.8	8.2	8.2	
59.8	15.5	0.8	10.6	
32.8	18.0	5.7	-4.1	
-4.1	20.5	3.2	13.1	
-50.9	27.8	-4.1	40.1	
-43.5	42.6	0.8	35.2	
-18.9	37.7	3.2	-4.1	
3.2	64.7	8.2	-38.6	
10.6	72.1	3.2	-21.4	
22.9	62.3	3.2	13.1	
30.3	45.1	15.5	15.5	
10.6	40.1	13.1	0.8	
3.2	45.1	10.6	-14.0	
-9.1	57.4	0.8	-26.3	
35.2	59.8	8.2	10.6	
40.1	30.3	8.2	8.2	
45.1	-6.6	5.7	-11.5	
45.1	-28.7	15.5	5.7	
45.1	-26.3	10.6	25.4	
27.8	-6.6	5.7	3.2	
-1.7	27.8	0.8	8.2	
-23.8	64.7	3.2	5.7	
-26.3	72.1	-1.7	8.2	
-21.4	3.2	5.7	-4.1	
-68.1	-21.4	18.0	10.6	
-100.1	22.9	15.5	8.2	
-77.9	27.8	22.9	0.8	
-31.2	54.9	22.9	0.8	
22.9	50.0	8.2	3.2	
47.5	35.2	13.1	3.2	
89.3	47.5	15.5	-9.1	
111.5	52.4	20.5	3.2	
141.0	45.1	0.8	10.6	
160.7	42.6	3.2	-1.7	
180.4	50.0	3.2	10.6	
160.7	40.1	3.2	-16.4	
131.2	42.6	5.7	0.8	
77.0	22.9	20.5	8.2	
50.0	22.9	5.7	5.7	
-11.5	30.3	5.7	-1.7	
-68.1	5.7	18.0	5.7	
-127.1	-4.1	-1.7	3.2	
-151.7	8.2	5.7	8.2	
-122.2	10.6	10.6	20.5	
-102.5	13.1	8.2	37.7	
