sensor1	sensor2	sensor3	sensor4	
20.5	50.0	10.6	-50.9	
8.2	47.5	0.8	-38.6	
0.8	47.5	3.2	-9.1	
0.8	45.1	3.2	10.6	
13.1	32.8	-4.1	-1.7	
22.9	37.7	3.2	-11.5	
18.0	10.6	3.2	18.0	
30.3	-4.1	0.8	27.8	
25.4	-6.6	0.8	-4.1	
18.0	0.8	5.7	5.7	
15.5	-4.1	3.2	-23.8	
18.0	5.7	5.7	-18.9	
25.4	20.5	5.7	0.8	
5.7	25.4	5.7	15.5	
-11.5	35.2	0.8	25.4	
5.7	64.7	0.8	27.8	
18.0	54.9	0.8	27.8	
20.5	27.8	-1.7	37.7	
18.0	37.7	3.2	25.4	
18.0	18.0	-1.7	-9.1	
13.1	20.5	8.2	-26.3	
15.5	15.5	3.2	-18.9	
10.6	20.5	5.7	-11.5	
3.2	22.9	10.6	3.2	
-4.1	30.3	8.2	-14.0	
5.7	40.1	3.2	-6.6	
3.2	32.8	8.2	3.2	
-6.6	25.4	13.1	5.7	
-1.7	27.8	8.2	3.2	
5.7	22.9	10.6	18.0	
5.7	30.3	8.2	25.4	
13.1	22.9	5.7	5.7	
15.5	32.8	0.8	-1.7	
13.1	42.6	0.8	0.8	
27.8	37.7	-11.5	13.1	
13.1	25.4	0.8	27.8	
13.1	47.5	8.2	10.6	
27.8	27.8	5.7	-14.0	
20.5	37.7	3.2	10.6	
22.9	27.8	5.7	5.7	
27.8	13.1	3.2	0.8	
25.4	32.8	5.7	-1.7	
35.2	32.8	-1.7	0.8	
27.8	32.8	13.1	-16.4	
20.5	32.8	-9.1	-4.1	
37.7	30.3	0.8	3.2	
20.5	40.1	8.2	0.8	
18.0	30.3	-1.7	15.5	
27.8	35.2	-1.7	20.5	
27.8	40.1	-9.1	15.5	
30.3	30.3	-1.7	13.1	
30.3	18.0	8.2	18.0	
25.4	20.5	10.6	18.0	
18.0	32.8	8.2	-14.0	
8.2	30.3	13.1	-11.5	
15.5	27.8	13.1	-11.5	
22.9	25.4	18.0	3.2	
20.5	32.8	5.7	8.2	
