sensor1	sensor2	sensor3	sensor4	
-1.7	27.8	0.8	-6.6	
84.4	35.2	8.2	0.8	
136.1	35.2	5.7	-6.6	
101.6	30.3	-11.5	5.7	
-63.2	45.1	3.2	-4.1	
-218.2	50.0	-4.1	-11.5	
-311.6	50.0	8.2	-6.6	
-232.9	57.4	3.2	5.7	
-9.1	54.9	8.2	3.2	
-63.2	59.8	0.8	10.6	
-213.2	59.8	5.7	3.2	
-235.4	45.1	-1.7	-4.1	
-188.6	47.5	-1.7	8.2	
128.7	32.8	3.2	-6.6	
219.7	37.7	3.2	3.2	
45.1	22.9	3.2	-6.6	
-92.7	37.7	13.1	5.7	
-55.8	35.2	20.5	5.7	
52.4	47.5	20.5	15.5	
15.5	35.2	10.6	8.2	
-38.6	35.2	5.7	-1.7	
-95.2	32.8	0.8	3.2	
-68.1	30.3	3.2	22.9	
-14.0	22.9	8.2	0.8	
187.7	30.3	-1.7	18.0	
303.4	27.8	-6.6	13.1	
391.9	37.7	-4.1	13.1	
332.9	30.3	0.8	15.5	
72.1	20.5	-14.0	35.2	
-176.3	22.9	-4.1	22.9	
-169.0	15.5	-1.7	25.4	
-245.2	13.1	8.2	-16.4	
-262.4	3.2	0.8	-4.1	
-46.0	15.5	20.5	3.2	
18.0	5.7	32.8	-14.0	
-82.9	18.0	40.1	-9.1	
-70.6	25.4	40.1	-4.1	
163.1	32.8	32.8	3.2	
241.9	27.8	37.7	3.2	
153.3	30.3	25.4	18.0	
86.9	25.4	25.4	8.2	
67.2	18.0	15.5	5.7	
54.9	35.2	30.3	5.7	
35.2	47.5	25.4	18.0	
8.2	45.1	18.0	15.5	
-14.0	45.1	10.6	8.2	
-18.9	32.8	13.1	3.2	
-16.4	22.9	13.1	-6.6	
3.2	20.5	10.6	-1.7	
22.9	25.4	13.1	-1.7	
-14.0	32.8	22.9	8.2	
-1.7	25.4	20.5	-9.1	
-1.7	20.5	18.0	-16.4	
47.5	37.7	18.0	-14.0	
52.4	32.8	22.9	-14.0	
89.3	37.7	18.0	-11.5	
69.7	32.8	8.2	-6.6	
-16.4	32.8	8.2	-4.1	
-95.2	35.2	13.1	-9.1	
-73.0	52.4	18.0	8.2	
-112.4	45.1	10.6	-4.1	
-178.8	40.1	8.2	0.8	
-75.5	40.1	5.7	10.6	
74.6	57.4	-1.7	8.2	
209.9	52.4	3.2	10.6	
266.5	42.6	-4.1	5.7	
244.3	59.8	3.2	10.6	
35.2	59.8	8.2	22.9	
-316.6	52.4	10.6	25.4	
-442.0	59.8	8.2	37.7	
-446.9	32.8	5.7	27.8	
-215.7	37.7	20.5	27.8	
13.1	54.9	20.5	25.4	
264.0	59.8	13.1	25.4	
173.0	54.9	30.3	20.5	
138.5	57.4	13.1	13.1	
94.3	54.9	15.5	13.1	
-82.9	54.9	13.1	27.8	
-247.7	57.4	20.5	15.5	
-274.7	54.9	18.0	10.6	
-95.2	47.5	20.5	-6.6	
-65.6	52.4	5.7	-18.9	
-58.3	27.8	13.1	8.2	
40.1	-11.5	18.0	0.8	
192.7	-21.4	13.1	-4.1	
158.2	13.1	22.9	-9.1	
82.0	25.4	32.8	-1.7	
126.2	15.5	25.4	5.7	
128.7	22.9	42.6	-9.1	
40.1	30.3	40.1	0.8	
13.1	22.9	45.1	-6.6	
42.6	30.3	42.6	0.8	
64.7	5.7	35.2	8.2	
86.9	8.2	30.3	8.2	
121.3	3.2	20.5	-9.1	
-9.1	-9.1	27.8	-23.8	
-144.4	-28.7	18.0	0.8	
-210.8	-21.4	22.9	-1.7	
-223.1	-21.4	15.5	-33.7	
-107.5	-11.5	18.0	-14.0	
364.9	-6.6	13.1	13.1	
485.4	-11.5	18.0	13.1	
286.1	-21.4	18.0	10.6	
84.4	-28.7	18.0	-1.7	
-102.5	-21.4	22.9	-9.1	
-166.5	-18.9	27.8	-9.1	
-141.9	-9.1	37.7	8.2	
-90.2	3.2	37.7	8.2	
8.2	13.1	27.8	-14.0	
27.8	25.4	25.4	-11.5	
20.5	15.5	22.9	5.7	
52.4	22.9	20.5	-11.5	
82.0	30.3	13.1	0.8	
20.5	47.5	15.5	0.8	
25.4	52.4	8.2	-16.4	
91.8	57.4	0.8	-26.3	
69.7	32.8	-4.1	-18.9	
-68.1	30.3	-6.6	15.5	
-127.1	59.8	-14.0	20.5	
-63.2	30.3	-11.5	5.7	
-119.8	35.2	-6.6	-1.7	
-328.9	47.5	-1.7	13.1	
-466.6	67.2	-4.1	13.1	
-368.2	57.4	0.8	20.5	
0.8	62.3	3.2	0.8	
374.7	69.7	10.6	5.7	
177.9	54.9	3.2	5.7	
40.1	54.9	13.1	22.9	
18.0	62.3	20.5	25.4	
-117.3	74.6	20.5	20.5	
-137.0	77.0	22.9	13.1	
-77.9	42.6	22.9	15.5	
67.2	50.0	8.2	15.5	
91.8	47.5	8.2	20.5	
47.5	50.0	5.7	22.9	
-1.7	45.1	-6.6	40.1	
-205.9	32.8	-4.1	25.4	
-176.3	40.1	5.7	25.4	
32.8	37.7	-1.7	20.5	
197.6	30.3	-1.7	32.8	
325.5	22.9	-14.0	22.9	
273.8	52.4	-1.7	20.5	
79.5	52.4	5.7	25.4	
-173.9	67.2	0.8	35.2	
-316.6	47.5	5.7	22.9	
-402.7	45.1	0.8	37.7	
-316.6	30.3	5.7	20.5	
-166.5	18.0	5.7	32.8	
69.7	40.1	0.8	45.1	
195.1	32.8	10.6	42.6	
104.1	40.1	3.2	35.2	
-36.1	30.3	13.1	13.1	
-122.2	52.4	3.2	18.0	
-41.0	67.2	3.2	20.5	
94.3	37.7	5.7	32.8	
118.9	20.5	8.2	18.0	
104.1	32.8	20.5	20.5	
177.9	37.7	15.5	0.8	
187.7	32.8	5.7	8.2	
84.4	30.3	8.2	-1.7	
-95.2	32.8	3.2	15.5	
-218.2	40.1	8.2	27.8	
-109.9	40.1	0.8	20.5	
-16.4	37.7	-1.7	13.1	
229.6	37.7	-4.1	22.9	
227.1	30.3	-6.6	27.8	
126.2	47.5	3.2	13.1	
50.0	40.1	10.6	10.6	
40.1	47.5	5.7	13.1	
-26.3	35.2	-1.7	22.9	
-75.5	40.1	0.8	18.0	
-77.9	42.6	8.2	10.6	
-109.9	45.1	5.7	-14.0	
-117.3	35.2	8.2	-53.3	
-156.7	30.3	5.7	-28.7	
-129.6	40.1	-1.7	-6.6	
50.0	37.7	8.2	-14.0	
173.0	18.0	0.8	-16.4	
175.4	22.9	0.8	-4.1	
113.9	22.9	15.5	-1.7	
10.6	0.8	18.0	0.8	
-9.1	15.5	5.7	-1.7	
8.2	25.4	5.7	0.8	
-26.3	32.8	25.4	5.7	
-26.3	18.0	15.5	8.2	
15.5	25.4	15.5	22.9	
47.5	25.4	18.0	20.5	
47.5	10.6	22.9	15.5	
45.1	13.1	20.5	22.9	
45.1	18.0	15.5	32.8	
10.6	27.8	15.5	25.4	
-16.4	27.8	27.8	10.6	
-38.6	22.9	27.8	-1.7	
-23.8	27.8	32.8	13.1	
64.7	30.3	18.0	8.2	
180.4	25.4	3.2	8.2	
187.7	10.6	-11.5	-18.9	
96.7	15.5	-4.1	-9.1	
47.5	22.9	3.2	3.2	
-28.7	18.0	-21.4	5.7	
-43.5	27.8	-1.7	3.2	
-31.2	32.8	-14.0	0.8	
-4.1	27.8	-23.8	10.6	
45.1	20.5	-28.7	5.7	
59.8	25.4	-11.5	3.2	
18.0	35.2	-9.1	-11.5	
10.6	42.6	-1.7	-16.4	
-6.6	35.2	-1.7	-4.1	
3.2	35.2	-1.7	0.8	
-11.5	30.3	0.8	5.7	
-80.4	42.6	3.2	-1.7	
-97.6	35.2	8.2	-1.7	
-48.4	42.6	0.8	-9.1	
8.2	40.1	0.8	8.2	
-11.5	42.6	5.7	10.6	
-46.0	40.1	8.2	3.2	
47.5	40.1	-4.1	5.7	
224.6	15.5	0.8	15.5	
241.9	37.7	0.8	13.1	
180.4	25.4	5.7	15.5	
74.6	27.8	-1.7	27.8	
-38.6	27.8	5.7	27.8	
-132.1	18.0	8.2	35.2	
-173.9	37.7	-6.6	35.2	
-232.9	32.8	0.8	18.0	
-247.7	22.9	-1.7	22.9	
-141.9	25.4	-6.6	15.5	
-154.2	27.8	-4.1	0.8	
-129.6	25.4	3.2	-9.1	
89.3	30.3	3.2	-16.4	
241.9	40.1	13.1	-1.7	
113.9	40.1	22.9	-14.0	
-36.1	42.6	22.9	-11.5	
-205.9	42.6	27.8	10.6	
-245.2	42.6	27.8	5.7	
-225.5	32.8	40.1	15.5	
-107.5	32.8	22.9	18.0	
-235.4	22.9	35.2	15.5	
-215.7	30.3	30.3	10.6	
202.5	37.7	40.1	3.2	
510.0	27.8	37.7	0.8	
433.7	37.7	40.1	13.1	
298.4	32.8	45.1	13.1	
121.3	45.1	40.1	20.5	
-85.3	40.1	32.8	22.9	
-220.6	25.4	25.4	20.5	
-119.8	35.2	32.8	13.1	
96.7	37.7	27.8	25.4	
192.7	22.9	15.5	22.9	
352.6	30.3	27.8	25.4	
224.6	45.1	30.3	13.1	
-60.7	25.4	20.5	5.7	
-149.3	37.7	20.5	-14.0	
-132.1	27.8	8.2	-6.6	
-80.4	45.1	5.7	5.7	
-31.2	32.8	-6.6	-9.1	
25.4	35.2	3.2	-4.1	
30.3	37.7	-18.9	0.8	
64.7	40.1	-9.1	0.8	
101.6	52.4	-14.0	3.2	
96.7	40.1	-16.4	-1.7	
45.1	40.1	-21.4	5.7	
0.8	52.4	-18.9	5.7	
-36.1	30.3	-11.5	15.5	
-70.6	30.3	-9.1	-4.1	
-85.3	35.2	0.8	0.8	
-114.8	30.3	5.7	8.2	
-119.8	42.6	10.6	-1.7	
-134.5	30.3	0.8	-11.5	
-186.2	42.6	8.2	-14.0	
-31.2	47.5	5.7	-14.0	
133.6	32.8	15.5	-4.1	
113.9	20.5	10.6	-1.7	
64.7	37.7	8.2	5.7	
45.1	50.0	-1.7	-4.1	
35.2	54.9	3.2	-6.6	
15.5	50.0	13.1	0.8	
-9.1	32.8	15.5	-14.0	
-9.1	35.2	22.9	3.2	
3.2	25.4	20.5	3.2	
-4.1	32.8	3.2	5.7	
10.6	22.9	8.2	-6.6	
15.5	13.1	5.7	10.6	
13.1	13.1	-1.7	8.2	
3.2	25.4	3.2	0.8	
30.3	30.3	-9.1	10.6	
82.0	40.1	0.8	20.5	
67.2	42.6	-1.7	32.8	
42.6	25.4	3.2	35.2	
40.1	35.2	3.2	20.5	
-18.9	40.1	3.2	10.6	
-92.7	27.8	0.8	15.5	
-107.5	32.8	15.5	30.3	
-70.6	42.6	22.9	42.6	
20.5	40.1	25.4	30.3	
52.4	30.3	27.8	30.3	
35.2	37.7	27.8	32.8	
27.8	22.9	15.5	15.5	
57.4	32.8	18.0	13.1	
20.5	27.8	20.5	18.0	
-146.8	18.0	20.5	15.5	
-311.6	42.6	18.0	5.7	
-368.2	35.2	15.5	-4.1	
-304.3	40.1	10.6	13.1	
-60.7	25.4	3.2	20.5	
224.6	22.9	10.6	20.5	
320.6	25.4	15.5	22.9	
141.0	18.0	30.3	3.2	
15.5	27.8	20.5	-18.9	
25.4	40.1	8.2	0.8	
35.2	27.8	10.6	8.2	
113.9	25.4	5.7	-6.6	
126.2	22.9	10.6	-6.6	
57.4	15.5	0.8	0.8	
-23.8	30.3	-1.7	5.7	
-48.4	27.8	-9.1	30.3	
-23.8	32.8	-6.6	25.4	
91.8	30.3	8.2	20.5	
382.1	32.8	0.8	8.2	
446.0	40.1	0.8	-26.3	
281.2	37.7	10.6	-14.0	
-26.3	40.1	3.2	-36.1	
-314.1	27.8	-1.7	-1.7	
-501.1	42.6	-1.7	-11.5	
-651.1	27.8	-1.7	5.7	
-515.8	30.3	3.2	5.7	
-210.8	42.6	5.7	-4.1	
-100.1	37.7	8.2	-4.1	
25.4	54.9	0.8	0.8	
57.4	40.1	10.6	10.6	
-127.1	37.7	20.5	18.0	
-129.6	45.1	10.6	18.0	
-21.4	47.5	27.8	10.6	
-23.8	22.9	15.5	3.2	
313.2	45.1	25.4	5.7	
1070.9	30.3	18.0	30.3	
805.2	35.2	27.8	37.7	
27.8	25.4	15.5	35.2	
-405.1	35.2	15.5	15.5	
-481.4	37.7	13.1	3.2	
-287.0	42.6	25.4	18.0	
-60.7	47.5	22.9	3.2	
-55.8	45.1	20.5	3.2	
-127.1	47.5	27.8	-14.0	
-191.1	47.5	10.6	-14.0	
-159.1	37.7	18.0	-9.1	
-33.7	32.8	20.5	-1.7	
13.1	32.8	10.6	-4.1	
-16.4	37.7	13.1	-4.1	
-109.9	52.4	27.8	0.8	
