sensor1	sensor2	sensor3	sensor4	
45.1	20.5	-9.1	-26.3	
47.5	15.5	-9.1	20.5	
8.2	27.8	-4.1	-4.1	
-14.0	37.7	-14.0	22.9	
8.2	30.3	0.8	20.5	
54.9	40.1	-4.1	5.7	
22.9	35.2	-1.7	-6.6	
13.1	35.2	0.8	-26.3	
35.2	25.4	3.2	3.2	
27.8	45.1	15.5	20.5	
32.8	27.8	18.0	-1.7	
37.7	40.1	22.9	-14.0	
45.1	32.8	18.0	5.7	
13.1	22.9	13.1	3.2	
0.8	30.3	22.9	-63.2	
10.6	20.5	27.8	27.8	
15.5	27.8	30.3	128.7	
18.0	32.8	30.3	59.8	
13.1	30.3	35.2	-55.8	
13.1	32.8	40.1	-1.7	
15.5	22.9	35.2	35.2	
5.7	20.5	42.6	42.6	
-9.1	35.2	45.1	5.7	
5.7	37.7	52.4	-4.1	
-4.1	37.7	32.8	-23.8	
10.6	32.8	54.9	13.1	
5.7	42.6	52.4	-16.4	
-6.6	22.9	50.0	50.0	
5.7	27.8	52.4	35.2	
-4.1	37.7	50.0	35.2	
0.8	30.3	50.0	18.0	
-1.7	13.1	50.0	-4.1	
3.2	40.1	47.5	-21.4	
10.6	35.2	52.4	-23.8	
0.8	32.8	54.9	-21.4	
18.0	37.7	59.8	-1.7	
30.3	35.2	50.0	62.3	
30.3	37.7	50.0	50.0	
22.9	18.0	62.3	42.6	
18.0	27.8	62.3	32.8	
20.5	30.3	67.2	35.2	
0.8	37.7	62.3	32.8	
3.2	32.8	77.0	10.6	
8.2	40.1	69.7	20.5	
-1.7	27.8	79.5	25.4	
3.2	32.8	69.7	25.4	
5.7	37.7	69.7	-1.7	
-14.0	25.4	84.4	-23.8	
-1.7	32.8	82.0	-1.7	
-14.0	32.8	84.4	5.7	
8.2	32.8	84.4	-9.1	
15.5	40.1	74.6	-1.7	
25.4	32.8	82.0	-6.6	
35.2	32.8	79.5	8.2	
47.5	25.4	69.7	10.6	
50.0	20.5	82.0	-6.6	
40.1	35.2	89.3	-11.5	
27.8	27.8	86.9	8.2	
30.3	35.2	82.0	37.7	
5.7	50.0	82.0	45.1	
-26.3	45.1	86.9	30.3	
-26.3	54.9	82.0	5.7	
-28.7	35.2	77.0	-21.4	
-26.3	32.8	77.0	25.4	
18.0	32.8	74.6	13.1	
62.3	15.5	79.5	0.8	
77.0	22.9	62.3	-4.1	
37.7	20.5	82.0	22.9	
18.0	18.0	72.1	18.0	
25.4	20.5	79.5	5.7	
13.1	18.0	67.2	0.8	
10.6	25.4	72.1	3.2	
-14.0	25.4	64.7	-4.1	
-23.8	32.8	69.7	-4.1	
