sensor1	sensor2	sensor3	sensor4	
0.8	30.3	-1.7	20.5	
3.2	25.4	10.6	22.9	
5.7	30.3	3.2	-1.7	
8.2	35.2	10.6	-14.0	
8.2	27.8	10.6	-1.7	
18.0	32.8	8.2	5.7	
18.0	32.8	13.1	-16.4	
18.0	27.8	5.7	15.5	
27.8	20.5	8.2	18.0	
25.4	27.8	13.1	18.0	
18.0	37.7	8.2	0.8	
25.4	45.1	5.7	-11.5	
20.5	47.5	0.8	8.2	
27.8	35.2	3.2	8.2	
15.5	42.6	-1.7	15.5	
22.9	32.8	0.8	22.9	
18.0	35.2	3.2	0.8	
20.5	37.7	-6.6	-9.1	
20.5	50.0	13.1	8.2	
27.8	35.2	5.7	10.6	
25.4	30.3	8.2	20.5	
20.5	42.6	15.5	25.4	
18.0	27.8	8.2	3.2	
22.9	32.8	5.7	-6.6	
27.8	27.8	-4.1	13.1	
25.4	47.5	0.8	25.4	
27.8	45.1	-1.7	13.1	
30.3	35.2	-6.6	0.8	
18.0	35.2	-1.7	-4.1	
22.9	32.8	-1.7	20.5	
27.8	42.6	-1.7	20.5	
32.8	40.1	8.2	5.7	
18.0	47.5	-1.7	-9.1	
25.4	45.1	0.8	0.8	
15.5	40.1	-9.1	5.7	
13.1	32.8	-1.7	8.2	
18.0	35.2	3.2	15.5	
22.9	27.8	-11.5	-6.6	
0.8	20.5	-4.1	0.8	
-9.1	35.2	3.2	18.0	
-1.7	47.5	3.2	22.9	
0.8	42.6	3.2	35.2	
-4.1	35.2	8.2	15.5	
8.2	47.5	-6.6	13.1	
0.8	35.2	-4.1	3.2	
8.2	47.5	-6.6	-6.6	
10.6	35.2	-4.1	-4.1	
18.0	35.2	-18.9	10.6	
25.4	32.8	-1.7	0.8	
22.9	50.0	-11.5	0.8	
30.3	57.4	-14.0	5.7	
22.9	40.1	-9.1	18.0	
20.5	30.3	-6.6	10.6	
10.6	27.8	-6.6	-4.1	
8.2	10.6	-6.6	0.8	
5.7	-4.1	-6.6	5.7	
0.8	20.5	0.8	5.7	
8.2	30.3	5.7	8.2	
15.5	32.8	-4.1	8.2	
13.1	37.7	-4.1	15.5	
8.2	27.8	-4.1	15.5	
8.2	35.2	-1.7	15.5	
0.8	18.0	3.2	3.2	
5.7	13.1	-9.1	3.2	
5.7	32.8	15.5	10.6	
3.2	50.0	-4.1	0.8	
22.9	50.0	0.8	5.7	
20.5	42.6	0.8	10.6	
13.1	5.7	5.7	-6.6	
13.1	-1.7	3.2	18.0	
8.2	25.4	0.8	10.6	
-4.1	57.4	-1.7	-1.7	
0.8	40.1	13.1	-11.5	
-1.7	45.1	5.7	-9.1	
8.2	52.4	-9.1	0.8	
3.2	37.7	3.2	10.6	
