sensor1	sensor2	sensor3	sensor4	
-169.0	30.3	18.0	3.2	
-173.9	42.6	20.5	-6.6	
-164.0	37.7	8.2	-9.1	
-171.4	30.3	5.7	5.7	
-181.3	30.3	8.2	-4.1	
-169.0	35.2	13.1	-4.1	
-159.1	35.2	20.5	-1.7	
-164.0	37.7	5.7	0.8	
-151.7	25.4	10.6	-1.7	
-146.8	40.1	15.5	-9.1	
-117.3	22.9	18.0	-6.6	
-100.1	13.1	3.2	15.5	
-87.8	-1.7	10.6	3.2	
-82.9	8.2	0.8	0.8	
-73.0	13.1	15.5	-6.6	
-60.7	30.3	25.4	-1.7	
-55.8	32.8	5.7	-6.6	
-58.3	22.9	3.2	5.7	
-50.9	27.8	8.2	-1.7	
-63.2	22.9	5.7	-4.1	
-73.0	27.8	3.2	-9.1	
-68.1	30.3	-1.7	0.8	
-73.0	20.5	10.6	-1.7	
-65.6	27.8	13.1	-6.6	
-70.6	32.8	15.5	5.7	
-48.4	18.0	15.5	5.7	
-50.9	22.9	13.1	8.2	
-50.9	18.0	5.7	-4.1	
-53.3	27.8	0.8	10.6	
-41.0	30.3	8.2	-9.1	
-60.7	30.3	18.0	-4.1	
-43.5	20.5	20.5	3.2	
-33.7	37.7	8.2	-6.6	
-41.0	25.4	18.0	-6.6	
-31.2	37.7	27.8	-11.5	
-46.0	27.8	15.5	-11.5	
-33.7	30.3	5.7	-1.7	
-43.5	27.8	18.0	3.2	
-53.3	42.6	8.2	-1.7	
-41.0	32.8	18.0	18.0	
-41.0	32.8	20.5	25.4	
-55.8	37.7	13.1	20.5	
-58.3	25.4	13.1	18.0	
-73.0	27.8	15.5	8.2	
-60.7	18.0	15.5	-4.1	
-68.1	25.4	25.4	13.1	
-73.0	35.2	15.5	3.2	
-77.9	35.2	8.2	0.8	
-73.0	27.8	-4.1	25.4	
-82.9	18.0	-11.5	20.5	
-73.0	37.7	-9.1	18.0	
-73.0	20.5	-4.1	3.2	
-80.4	35.2	-1.7	5.7	
-75.5	32.8	-1.7	5.7	
-77.9	27.8	5.7	10.6	
-80.4	25.4	-9.1	-1.7	
-85.3	37.7	-6.6	0.8	
-92.7	32.8	0.8	-4.1	
-82.9	35.2	-1.7	-11.5	
-92.7	27.8	0.8	-14.0	
-82.9	25.4	-4.1	-9.1	
-87.8	20.5	5.7	18.0	
-105.0	18.0	-6.6	27.8	
-95.2	32.8	-4.1	30.3	
-102.5	20.5	-1.7	3.2	
-107.5	8.2	-4.1	0.8	
-97.6	10.6	0.8	0.8	
-105.0	3.2	-9.1	8.2	
-112.4	0.8	-4.1	3.2	
-117.3	-4.1	-1.7	-4.1	
-114.8	-14.0	-6.6	-1.7	
-117.3	-11.5	-9.1	20.5	
-129.6	-21.4	-11.5	15.5	
-132.1	-14.0	-6.6	13.1	
-139.4	-14.0	0.8	22.9	
-154.2	-6.6	-9.1	18.0	
-151.7	0.8	5.7	13.1	
-151.7	-4.1	3.2	15.5	
-156.7	8.2	-6.6	22.9	
-154.2	-1.7	0.8	10.6	
-159.1	0.8	-9.1	8.2	
-169.0	-9.1	-9.1	10.6	
-171.4	-18.9	-1.7	-1.7	
-171.4	-23.8	-6.6	18.0	
-166.5	-16.4	-1.7	27.8	
-169.0	-16.4	-4.1	15.5	
-176.3	3.2	-4.1	22.9	
-171.4	8.2	-1.7	15.5	
-159.1	27.8	3.2	10.6	
-159.1	35.2	8.2	5.7	
-156.7	64.7	8.2	0.8	
-154.2	52.4	5.7	10.6	
-141.9	74.6	5.7	0.8	
-122.2	64.7	8.2	-1.7	
-127.1	77.0	8.2	8.2	
-119.8	79.5	0.8	5.7	
-122.2	86.9	-4.1	-1.7	
-117.3	74.6	0.8	-1.7	
-107.5	74.6	13.1	0.8	
-114.8	62.3	18.0	3.2	
-112.4	52.4	22.9	0.8	
-97.6	72.1	13.1	8.2	
-107.5	57.4	5.7	-4.1	
-109.9	50.0	8.2	-1.7	
-105.0	59.8	18.0	-9.1	
-102.5	37.7	18.0	-4.1	
-102.5	45.1	18.0	8.2	
-105.0	40.1	15.5	0.8	
-90.2	37.7	15.5	-11.5	
-85.3	47.5	13.1	-6.6	
-100.1	40.1	18.0	-6.6	
-68.1	35.2	15.5	8.2	
-85.3	15.5	18.0	5.7	
-75.5	22.9	15.5	-1.7	
-75.5	13.1	15.5	-6.6	
-70.6	20.5	15.5	0.8	
-63.2	18.0	10.6	8.2	
-77.9	25.4	18.0	8.2	
-73.0	13.1	15.5	0.8	
-70.6	30.3	20.5	3.2	
-75.5	20.5	27.8	3.2	
-68.1	22.9	22.9	5.7	
-70.6	22.9	20.5	5.7	
-73.0	25.4	22.9	-6.6	
-73.0	25.4	25.4	8.2	
-68.1	25.4	15.5	-1.7	
-68.1	32.8	35.2	18.0	
-63.2	35.2	25.4	0.8	
-70.6	30.3	18.0	8.2	
-65.6	30.3	15.5	-4.1	
-53.3	40.1	32.8	-4.1	
-55.8	27.8	15.5	0.8	
-58.3	37.7	13.1	5.7	
-53.3	25.4	20.5	5.7	
