sensor1	sensor2	sensor3	sensor4	
62.3	197.6	25.4	27.8	
54.9	168.1	30.3	15.5	
42.6	148.4	13.1	20.5	
37.7	126.2	13.1	3.2	
42.6	131.2	-1.7	0.8	
42.6	121.3	3.2	-6.6	
45.1	131.2	13.1	-6.6	
52.4	96.7	15.5	-4.1	
54.9	67.2	18.0	-6.6	
50.0	62.3	-9.1	-1.7	
54.9	32.8	-18.9	-14.0	
35.2	35.2	-1.7	8.2	
20.5	27.8	-1.7	3.2	
13.1	13.1	18.0	13.1	
15.5	67.2	20.5	18.0	
32.8	40.1	15.5	25.4	
52.4	62.3	13.1	18.0	
69.7	32.8	22.9	10.6	
57.4	15.5	-16.4	22.9	
52.4	-18.9	-14.0	18.0	
40.1	-11.5	-26.3	20.5	
35.2	-107.5	-4.1	20.5	
40.1	-205.9	-4.1	18.0	
96.7	-306.7	-43.5	18.0	
123.8	-247.7	-36.1	5.7	
116.4	-6.6	-4.1	15.5	
148.4	59.8	18.0	18.0	
163.1	50.0	30.3	15.5	
121.3	-92.7	25.4	30.3	
121.3	94.3	22.9	54.9	
77.0	-6.6	15.5	69.7	
42.6	-205.9	10.6	64.7	
20.5	-43.5	-4.1	35.2	
-4.1	-6.6	-4.1	-38.6	
-41.0	-188.6	-6.6	5.7	
-41.0	0.8	8.2	20.5	
-33.7	13.1	15.5	-4.1	
-16.4	27.8	20.5	-55.8	
25.4	37.7	15.5	-28.7	
20.5	27.8	15.5	45.1	
15.5	25.4	15.5	30.3	
18.0	45.1	20.5	-33.7	
22.9	25.4	20.5	-105.0	
25.4	8.2	13.1	-43.5	
22.9	-14.0	13.1	-26.3	
3.2	37.7	10.6	-18.9	
-9.1	37.7	3.2	-4.1	
18.0	25.4	18.0	-11.5	
25.4	57.4	10.6	-31.2	
25.4	35.2	-1.7	-16.4	
25.4	54.9	8.2	3.2	
27.8	62.3	10.6	-9.1	
32.8	35.2	13.1	5.7	
22.9	30.3	-4.1	-1.7	
15.5	37.7	10.6	-14.0	
8.2	57.4	15.5	0.8	
-9.1	57.4	15.5	13.1	
-11.5	40.1	20.5	22.9	
0.8	47.5	22.9	-1.7	
-16.4	45.1	27.8	5.7	
-6.6	45.1	27.8	8.2	
5.7	77.0	40.1	-1.7	
-1.7	54.9	20.5	-4.1	
3.2	52.4	30.3	15.5	
-4.1	20.5	20.5	40.1	
15.5	5.7	22.9	30.3	
10.6	42.6	18.0	32.8	
3.2	35.2	15.5	32.8	
10.6	64.7	13.1	30.3	
10.6	69.7	25.4	8.2	
18.0	32.8	10.6	8.2	
22.9	32.8	10.6	15.5	
37.7	50.0	8.2	25.4	
42.6	64.7	-1.7	22.9	
37.7	27.8	13.1	22.9	
37.7	54.9	20.5	20.5	
35.2	40.1	25.4	22.9	
37.7	54.9	15.5	8.2	
30.3	42.6	25.4	13.1	
30.3	27.8	35.2	27.8	
42.6	47.5	27.8	35.2	
35.2	45.1	27.8	45.1	
30.3	5.7	15.5	77.0	
20.5	3.2	27.8	101.6	
40.1	18.0	15.5	77.0	
32.8	20.5	3.2	0.8	
25.4	13.1	8.2	-60.7	
20.5	15.5	15.5	-58.3	
13.1	8.2	22.9	-33.7	
25.4	-6.6	27.8	-23.8	
27.8	10.6	8.2	0.8	
22.9	-18.9	8.2	25.4	
22.9	3.2	3.2	64.7	
10.6	-6.6	13.1	-9.1	
8.2	32.8	22.9	-31.2	
-4.1	8.2	18.0	-70.6	
8.2	-18.9	10.6	-55.8	
3.2	0.8	0.8	-48.4	
10.6	-18.9	5.7	-26.3	
15.5	-23.8	25.4	-11.5	
20.5	-26.3	40.1	-1.7	
40.1	-43.5	27.8	18.0	
42.6	-1.7	74.6	-21.4	
40.1	-9.1	104.1	-23.8	
52.4	-68.1	64.7	-9.1	
57.4	-41.0	-77.9	-18.9	
52.4	-63.2	-154.2	-21.4	
52.4	-14.0	-105.0	-6.6	
