sensor1	sensor2	sensor3	sensor4	
-26.3	35.2	25.4	0.8	
-31.2	35.2	32.8	-1.7	
-38.6	42.6	30.3	10.6	
27.8	35.2	32.8	5.7	
40.1	35.2	25.4	8.2	
30.3	35.2	27.8	3.2	
15.5	15.5	13.1	5.7	
5.7	30.3	20.5	10.6	
-6.6	18.0	25.4	13.1	
5.7	18.0	30.3	15.5	
13.1	25.4	32.8	0.8	
20.5	30.3	13.1	-1.7	
8.2	27.8	18.0	0.8	
13.1	27.8	0.8	-9.1	
13.1	45.1	-6.6	-16.4	
22.9	42.6	3.2	0.8	
32.8	35.2	8.2	-1.7	
45.1	32.8	3.2	5.7	
35.2	40.1	-9.1	5.7	
35.2	30.3	5.7	-1.7	
30.3	27.8	-9.1	-1.7	
27.8	30.3	0.8	-4.1	
27.8	27.8	-1.7	0.8	
25.4	45.1	3.2	0.8	
37.7	37.7	-1.7	0.8	
47.5	37.7	-16.4	-1.7	
59.8	45.1	-16.4	8.2	
57.4	40.1	-9.1	-4.1	
30.3	50.0	-1.7	-1.7	
-11.5	47.5	3.2	13.1	
-48.4	37.7	8.2	10.6	
-46.0	32.8	-6.6	5.7	
-38.6	37.7	-1.7	8.2	
-21.4	40.1	-4.1	0.8	
8.2	18.0	8.2	3.2	
35.2	47.5	22.9	0.8	
57.4	45.1	35.2	-4.1	
52.4	40.1	25.4	10.6	
40.1	50.0	15.5	-6.6	
22.9	59.8	18.0	5.7	
25.4	77.0	13.1	3.2	
37.7	59.8	0.8	3.2	
57.4	62.3	-14.0	-9.1	
67.2	69.7	3.2	0.8	
62.3	54.9	-9.1	-14.0	
22.9	79.5	5.7	5.7	
13.1	57.4	-1.7	8.2	
-26.3	59.8	-1.7	-1.7	
-43.5	54.9	-1.7	3.2	
-58.3	54.9	-9.1	5.7	
-36.1	62.3	-1.7	5.7	
8.2	42.6	-1.7	18.0	
37.7	64.7	0.8	22.9	
57.4	74.6	5.7	5.7	
62.3	79.5	8.2	0.8	
62.3	84.4	0.8	10.6	
57.4	79.5	3.2	10.6	
77.0	91.8	-4.1	27.8	
57.4	96.7	0.8	25.4	
59.8	101.6	0.8	22.9	
25.4	74.6	-4.1	-1.7	
18.0	79.5	-6.6	-1.7	
40.1	57.4	5.7	0.8	
40.1	37.7	-1.7	3.2	
25.4	59.8	0.8	3.2	
18.0	27.8	-1.7	0.8	
3.2	-28.7	-9.1	10.6	
-14.0	-46.0	3.2	8.2	
-16.4	-48.4	5.7	5.7	
-33.7	-36.1	13.1	-1.7	
-18.9	-48.4	15.5	0.8	
-33.7	-28.7	18.0	13.1	
-41.0	-55.8	10.6	0.8	
-31.2	-65.6	-9.1	-1.7	
-16.4	-43.5	8.2	3.2	
5.7	-65.6	5.7	8.2	
27.8	-63.2	8.2	0.8	
32.8	-55.8	8.2	-1.7	
15.5	-43.5	8.2	8.2	
0.8	-31.2	3.2	10.6	
-9.1	-31.2	-4.1	5.7	
20.5	-23.8	0.8	8.2	
27.8	-14.0	3.2	3.2	
69.7	-4.1	-4.1	-1.7	
111.5	-9.1	0.8	5.7	
101.6	-1.7	0.8	15.5	
37.7	10.6	-9.1	8.2	
3.2	35.2	-6.6	0.8	
-28.7	37.7	-4.1	8.2	
-41.0	32.8	-1.7	10.6	
-58.3	52.4	20.5	10.6	
-43.5	40.1	42.6	-1.7	
-11.5	54.9	35.2	13.1	
-9.1	45.1	27.8	5.7	
-11.5	40.1	8.2	5.7	
-9.1	57.4	-4.1	3.2	
-9.1	72.1	-28.7	3.2	
-1.7	77.0	-38.6	-1.7	
5.7	77.0	-55.8	-4.1	
35.2	62.3	-48.4	0.8	
45.1	77.0	-14.0	-1.7	
35.2	64.7	-4.1	10.6	
3.2	50.0	-4.1	30.3	
-4.1	40.1	3.2	27.8	
-18.9	22.9	3.2	20.5	
-18.9	27.8	3.2	45.1	
-26.3	32.8	0.8	18.0	
-14.0	47.5	0.8	0.8	
3.2	40.1	10.6	-14.0	
50.0	42.6	-1.7	-16.4	
84.4	40.1	-1.7	-14.0	
52.4	35.2	-11.5	-11.5	
35.2	47.5	5.7	-14.0	
27.8	50.0	-1.7	-9.1	
25.4	47.5	0.8	-1.7	
8.2	42.6	-4.1	-1.7	
5.7	47.5	-1.7	-4.1	
5.7	47.5	8.2	10.6	
25.4	37.7	3.2	-4.1	
35.2	47.5	3.2	5.7	
25.4	40.1	5.7	13.1	
15.5	32.8	8.2	15.5	
-9.1	47.5	10.6	25.4	
-28.7	42.6	-4.1	5.7	
-28.7	47.5	3.2	10.6	
-28.7	35.2	3.2	8.2	
-9.1	42.6	5.7	-1.7	
-4.1	47.5	13.1	-4.1	
-4.1	35.2	13.1	3.2	
-21.4	45.1	15.5	5.7	
-38.6	52.4	3.2	8.2	
-28.7	40.1	10.6	0.8	
-9.1	30.3	0.8	-4.1	
-14.0	47.5	10.6	10.6	
15.5	50.0	8.2	5.7	
35.2	27.8	-1.7	5.7	
35.2	20.5	-21.4	3.2	
54.9	27.8	3.2	8.2	
77.0	52.4	20.5	-1.7	
67.2	47.5	20.5	-6.6	
59.8	40.1	13.1	-6.6	
20.5	35.2	20.5	-4.1	
-6.6	42.6	18.0	8.2	
22.9	32.8	13.1	15.5	
35.2	27.8	10.6	5.7	
25.4	37.7	0.8	-1.7	
20.5	25.4	-4.1	3.2	
-9.1	59.8	8.2	-4.1	
-48.4	59.8	3.2	5.7	
-26.3	52.4	5.7	5.7	
-11.5	47.5	10.6	5.7	
-14.0	32.8	3.2	5.7	
-18.9	8.2	3.2	3.2	
-16.4	5.7	-9.1	-4.1	
