sensor1	sensor2	sensor3	sensor4	
-105.0	32.8	3.2	-1.7	
-100.1	40.1	5.7	3.2	
-80.4	64.7	10.6	18.0	
-95.2	50.0	15.5	13.1	
-109.9	42.6	10.6	8.2	
-134.5	52.4	5.7	5.7	
-149.3	40.1	5.7	0.8	
-149.3	30.3	-4.1	8.2	
-161.6	47.5	-9.1	15.5	
-134.5	22.9	10.6	10.6	
-134.5	25.4	-6.6	-4.1	
-154.2	30.3	10.6	-9.1	
-149.3	27.8	8.2	13.1	
-119.8	35.2	0.8	-16.4	
-75.5	27.8	8.2	-31.2	
-80.4	40.1	10.6	-18.9	
-77.9	25.4	-4.1	5.7	
-55.8	25.4	-1.7	13.1	
-50.9	20.5	0.8	-1.7	
-33.7	30.3	-9.1	10.6	
-53.3	27.8	-4.1	3.2	
-90.2	27.8	-9.1	-23.8	
-117.3	45.1	-1.7	-1.7	
-124.7	45.1	-9.1	8.2	
-141.9	42.6	-11.5	-1.7	
-159.1	32.8	-1.7	-1.7	
-144.4	22.9	8.2	3.2	
-151.7	15.5	8.2	-26.3	
-161.6	18.0	3.2	-21.4	
-132.1	10.6	0.8	-16.4	
-137.0	5.7	-4.1	-18.9	
-129.6	15.5	-28.7	-16.4	
-129.6	18.0	-21.4	8.2	
-87.8	15.5	-28.7	18.0	
-68.1	13.1	-26.3	0.8	
-68.1	22.9	-26.3	-21.4	
-50.9	15.5	-14.0	-11.5	
-48.4	13.1	8.2	-36.1	
-21.4	27.8	20.5	-18.9	
8.2	42.6	20.5	-28.7	
35.2	32.8	32.8	-26.3	
15.5	42.6	13.1	-18.9	
-31.2	37.7	10.6	-9.1	
-68.1	27.8	-1.7	8.2	
-90.2	50.0	15.5	3.2	
-112.4	40.1	8.2	-43.5	
-119.8	37.7	-9.1	-36.1	
-60.7	54.9	-11.5	-31.2	
-23.8	42.6	-18.9	-26.3	
-33.7	40.1	-21.4	-6.6	
-129.6	52.4	-4.1	-11.5	
-215.7	35.2	-18.9	-11.5	
-279.7	25.4	-4.1	0.8	
-289.5	35.2	-18.9	-4.1	
-321.5	32.8	-23.8	-21.4	
-282.1	30.3	-16.4	-31.2	
-260.0	27.8	-9.1	-9.1	
-252.6	35.2	-14.0	0.8	
