sensor1	sensor2	sensor3	sensor4	
-4.1	13.1	5.7	-14.0	
-4.1	-14.0	13.1	-41.0	
-21.4	-14.0	10.6	-26.3	
-14.0	-6.6	5.7	-4.1	
-36.1	-41.0	5.7	-11.5	
-33.7	-55.8	3.2	-1.7	
-33.7	-43.5	8.2	-21.4	
-36.1	-21.4	3.2	-9.1	
-28.7	25.4	15.5	-6.6	
-23.8	69.7	20.5	-4.1	
-41.0	42.6	20.5	-28.7	
-36.1	-6.6	25.4	-31.2	
-36.1	-21.4	10.6	-23.8	
-16.4	-38.6	8.2	-16.4	
-18.9	-14.0	15.5	-28.7	
-26.3	-9.1	18.0	-36.1	
-1.7	10.6	15.5	-33.7	
-16.4	40.1	13.1	-28.7	
-23.8	30.3	15.5	-16.4	
-18.9	52.4	15.5	-9.1	
0.8	59.8	18.0	20.5	
3.2	22.9	8.2	77.0	
-11.5	32.8	10.6	40.1	
-1.7	35.2	15.5	-6.6	
-9.1	25.4	20.5	-14.0	
-11.5	15.5	18.0	-21.4	
-1.7	32.8	13.1	-18.9	
0.8	47.5	27.8	-9.1	
-1.7	47.5	25.4	-1.7	
5.7	27.8	25.4	0.8	
13.1	32.8	22.9	-14.0	
10.6	20.5	25.4	-9.1	
25.4	30.3	20.5	-11.5	
37.7	42.6	18.0	-6.6	
35.2	42.6	25.4	-14.0	
37.7	22.9	18.0	-4.1	
35.2	25.4	15.5	-9.1	
20.5	30.3	32.8	-9.1	
22.9	35.2	8.2	-11.5	
27.8	22.9	20.5	-1.7	
32.8	32.8	15.5	-16.4	
42.6	47.5	18.0	-11.5	
37.7	32.8	13.1	-11.5	
45.1	35.2	18.0	-6.6	
35.2	37.7	8.2	-11.5	
37.7	20.5	8.2	0.8	
22.9	18.0	5.7	-11.5	
27.8	20.5	0.8	-21.4	
5.7	27.8	3.2	-21.4	
0.8	15.5	-4.1	-6.6	
0.8	27.8	20.5	0.8	
-1.7	32.8	8.2	8.2	
3.2	27.8	-1.7	-4.1	
-1.7	27.8	-4.1	0.8	
8.2	30.3	0.8	-6.6	
-1.7	37.7	3.2	-6.6	
-1.7	37.7	0.8	-16.4	
10.6	32.8	-6.6	-16.4	
3.2	45.1	-4.1	-6.6	
-9.1	45.1	0.8	0.8	
-9.1	37.7	-6.6	-6.6	
-4.1	50.0	-4.1	10.6	
-1.7	37.7	-11.5	5.7	
-9.1	37.7	0.8	3.2	
-21.4	37.7	-6.6	0.8	
-9.1	18.0	13.1	-6.6	
-21.4	20.5	5.7	-6.6	
-9.1	20.5	-11.5	-31.2	
-11.5	40.1	-1.7	-14.0	
-9.1	35.2	3.2	5.7	
-9.1	32.8	0.8	-11.5	
-11.5	42.6	10.6	0.8	
-6.6	42.6	5.7	5.7	
-14.0	35.2	0.8	-4.1	
-9.1	42.6	0.8	0.8	
-18.9	52.4	-4.1	3.2	
20.5	52.4	-1.7	3.2	
10.6	47.5	0.8	-4.1	
0.8	42.6	-6.6	5.7	
3.2	57.4	-4.1	13.1	
5.7	50.0	5.7	25.4	
18.0	59.8	13.1	5.7	
15.5	47.5	18.0	8.2	
8.2	50.0	15.5	0.8	
-1.7	52.4	13.1	-41.0	
-6.6	59.8	22.9	5.7	
-4.1	52.4	18.0	10.6	
-14.0	37.7	13.1	15.5	
-16.4	5.7	13.1	10.6	
-11.5	40.1	8.2	-14.0	
27.8	50.0	0.8	-9.1	
35.2	67.2	8.2	-4.1	
15.5	69.7	0.8	0.8	
30.3	67.2	-6.6	-4.1	
37.7	59.8	-1.7	-1.7	
35.2	62.3	10.6	-6.6	
35.2	-4.1	8.2	0.8	
30.3	-14.0	8.2	5.7	
30.3	-1.7	-1.7	10.6	
27.8	40.1	5.7	18.0	
32.8	45.1	13.1	18.0	
27.8	47.5	15.5	0.8	
22.9	50.0	8.2	0.8	
5.7	64.7	5.7	-9.1	
25.4	96.7	13.1	5.7	
30.3	136.1	5.7	13.1	
32.8	133.6	-1.7	8.2	
37.7	118.9	8.2	-11.5	
30.3	64.7	3.2	-4.1	
8.2	54.9	0.8	-4.1	
18.0	69.7	8.2	10.6	
13.1	74.6	-14.0	15.5	
15.5	89.3	10.6	22.9	
25.4	22.9	5.7	18.0	
50.0	-9.1	8.2	13.1	
59.8	-48.4	8.2	8.2	
50.0	-68.1	5.7	3.2	
52.4	-68.1	10.6	15.5	
57.4	-48.4	15.5	15.5	
72.1	-28.7	10.6	3.2	
82.0	-9.1	15.5	-26.3	
91.8	-9.1	20.5	0.8	
91.8	3.2	15.5	-9.1	
91.8	18.0	13.1	3.2	
64.7	30.3	18.0	-4.1	
54.9	22.9	18.0	-1.7	
62.3	67.2	22.9	3.2	
50.0	64.7	20.5	10.6	
27.8	59.8	25.4	-6.6	
37.7	59.8	25.4	-4.1	
37.7	72.1	20.5	-14.0	
20.5	72.1	15.5	0.8	
20.5	57.4	25.4	-6.6	
40.1	62.3	22.9	3.2	
54.9	67.2	18.0	10.6	
57.4	72.1	18.0	5.7	
54.9	57.4	8.2	-1.7	
52.4	69.7	13.1	5.7	
47.5	50.0	22.9	5.7	
35.2	67.2	22.9	-16.4	
40.1	64.7	13.1	0.8	
32.8	47.5	10.6	3.2	
37.7	50.0	10.6	0.8	
15.5	67.2	18.0	3.2	
30.3	91.8	18.0	5.7	
25.4	84.4	15.5	5.7	
18.0	96.7	15.5	-4.1	
18.0	96.7	20.5	0.8	
15.5	79.5	15.5	3.2	
18.0	77.0	10.6	0.8	
18.0	89.3	3.2	10.6	
35.2	94.3	3.2	15.5	
30.3	86.9	-4.1	25.4	
22.9	59.8	-4.1	8.2	
27.8	37.7	13.1	-21.4	
22.9	-21.4	20.5	-1.7	
30.3	-9.1	5.7	-21.4	
35.2	42.6	10.6	8.2	
32.8	54.9	5.7	-1.7	
57.4	50.0	0.8	-6.6	
57.4	62.3	5.7	10.6	
37.7	35.2	3.2	13.1	
35.2	30.3	8.2	15.5	
22.9	52.4	-1.7	20.5	
25.4	30.3	-1.7	18.0	
22.9	22.9	13.1	18.0	
27.8	40.1	3.2	25.4	
50.0	67.2	-1.7	10.6	
