sensor1	sensor2	sensor3	sensor4	
20.5	27.8	3.2	-9.1	
0.8	25.4	15.5	3.2	
20.5	27.8	3.2	5.7	
22.9	25.4	8.2	5.7	
22.9	25.4	8.2	-14.0	
20.5	22.9	15.5	-11.5	
18.0	20.5	3.2	3.2	
8.2	25.4	8.2	20.5	
5.7	25.4	18.0	10.6	
10.6	30.3	8.2	0.8	
-9.1	30.3	3.2	5.7	
5.7	32.8	-4.1	-11.5	
5.7	35.2	0.8	13.1	
-1.7	32.8	5.7	10.6	
-1.7	40.1	10.6	-4.1	
3.2	45.1	10.6	5.7	
3.2	37.7	0.8	8.2	
0.8	30.3	-1.7	-11.5	
13.1	40.1	-6.6	-1.7	
22.9	32.8	3.2	-14.0	
18.0	40.1	18.0	5.7	
8.2	40.1	5.7	0.8	
8.2	40.1	10.6	-1.7	
-1.7	45.1	-4.1	-4.1	
-21.4	40.1	3.2	13.1	
-11.5	42.6	5.7	18.0	
0.8	37.7	3.2	8.2	
5.7	37.7	5.7	-16.4	
8.2	42.6	-1.7	25.4	
22.9	-1.7	10.6	25.4	
30.3	-31.2	13.1	-4.1	
15.5	-31.2	8.2	-21.4	
5.7	13.1	5.7	10.6	
-6.6	50.0	-6.6	-9.1	
13.1	18.0	10.6	-6.6	
27.8	-11.5	5.7	0.8	
52.4	35.2	10.6	30.3	
40.1	25.4	10.6	37.7	
10.6	20.5	-1.7	18.0	
-4.1	47.5	5.7	22.9	
-6.6	62.3	3.2	-6.6	
-16.4	72.1	0.8	5.7	
0.8	37.7	3.2	10.6	
3.2	37.7	0.8	5.7	
15.5	42.6	5.7	0.8	
42.6	32.8	5.7	-6.6	
62.3	3.2	3.2	-6.6	
45.1	45.1	8.2	0.8	
25.4	57.4	3.2	-9.1	
30.3	47.5	-6.6	-4.1	
5.7	25.4	-4.1	-23.8	
-16.4	25.4	10.6	-18.9	
15.5	50.0	5.7	3.2	
8.2	64.7	18.0	0.8	
5.7	50.0	8.2	13.1	
-1.7	62.3	0.8	3.2	
-4.1	72.1	5.7	0.8	
8.2	79.5	8.2	-4.1	
5.7	67.2	5.7	3.2	
18.0	57.4	-1.7	-4.1	
15.5	52.4	5.7	13.1	
5.7	-1.7	8.2	15.5	
15.5	-1.7	5.7	15.5	
8.2	15.5	3.2	10.6	
0.8	42.6	3.2	37.7	
8.2	45.1	5.7	30.3	
-4.1	35.2	0.8	20.5	
13.1	37.7	-9.1	-4.1	
18.0	32.8	5.7	0.8	
22.9	35.2	10.6	-1.7	
20.5	40.1	3.2	-4.1	
20.5	15.5	5.7	0.8	
18.0	27.8	0.8	3.2	
15.5	27.8	3.2	5.7	
35.2	32.8	-1.7	5.7	
22.9	35.2	5.7	8.2	
18.0	42.6	-6.6	5.7	
15.5	40.1	8.2	-1.7	
8.2	35.2	5.7	-4.1	
10.6	37.7	10.6	3.2	
-14.0	32.8	3.2	8.2	
5.7	37.7	8.2	8.2	
-4.1	37.7	5.7	10.6	
-11.5	50.0	0.8	0.8	
-11.5	45.1	5.7	-6.6	
-9.1	32.8	10.6	-6.6	
-1.7	40.1	3.2	0.8	
-1.7	27.8	-4.1	3.2	
8.2	35.2	0.8	-1.7	
0.8	32.8	0.8	-14.0	
8.2	32.8	8.2	0.8	
-1.7	40.1	5.7	-1.7	
0.8	10.6	10.6	0.8	
8.2	25.4	10.6	0.8	
10.6	32.8	8.2	0.8	
0.8	42.6	0.8	0.8	
15.5	32.8	10.6	10.6	
10.6	40.1	0.8	27.8	
13.1	27.8	-6.6	-6.6	
22.9	32.8	8.2	3.2	
18.0	40.1	3.2	5.7	
10.6	32.8	-1.7	5.7	
15.5	30.3	10.6	3.2	
8.2	22.9	-1.7	0.8	
5.7	45.1	8.2	-4.1	
25.4	40.1	-1.7	3.2	
22.9	42.6	3.2	10.6	
15.5	42.6	8.2	13.1	
15.5	40.1	0.8	13.1	
15.5	30.3	-4.1	8.2	
13.1	40.1	5.7	5.7	
18.0	30.3	10.6	5.7	
13.1	35.2	3.2	0.8	
27.8	47.5	8.2	8.2	
13.1	50.0	3.2	5.7	
25.4	27.8	5.7	8.2	
13.1	15.5	-9.1	0.8	
22.9	22.9	-1.7	-4.1	
5.7	15.5	-1.7	-9.1	
15.5	25.4	0.8	3.2	
30.3	20.5	13.1	-6.6	
22.9	15.5	8.2	15.5	
18.0	3.2	8.2	13.1	
15.5	25.4	0.8	8.2	
5.7	64.7	0.8	0.8	
20.5	15.5	5.7	-4.1	
32.8	18.0	0.8	3.2	
32.8	15.5	-1.7	-11.5	
22.9	13.1	-6.6	13.1	
5.7	0.8	15.5	5.7	
-4.1	13.1	10.6	3.2	
-4.1	18.0	3.2	0.8	
-14.0	-4.1	-4.1	3.2	
-23.8	27.8	-6.6	0.8	
-11.5	62.3	8.2	0.8	
30.3	94.3	13.1	0.8	
45.1	54.9	13.1	-4.1	
45.1	52.4	10.6	3.2	
22.9	47.5	5.7	3.2	
27.8	50.0	0.8	0.8	
15.5	40.1	3.2	-1.7	
18.0	37.7	-6.6	-4.1	
3.2	42.6	0.8	3.2	
5.7	30.3	3.2	0.8	
5.7	32.8	8.2	0.8	
8.2	42.6	-1.7	5.7	
8.2	45.1	0.8	0.8	
8.2	27.8	8.2	-6.6	
13.1	35.2	3.2	5.7	
22.9	47.5	-4.1	-4.1	
18.0	50.0	3.2	5.7	
25.4	22.9	0.8	5.7	
18.0	3.2	0.8	8.2	
22.9	22.9	3.2	-4.1	
8.2	27.8	3.2	13.1	
10.6	5.7	3.2	10.6	
13.1	-1.7	3.2	5.7	
18.0	-6.6	8.2	-9.1	
5.7	30.3	0.8	-11.5	
18.0	13.1	0.8	10.6	
27.8	-33.7	0.8	3.2	
8.2	-26.3	8.2	13.1	
5.7	-9.1	5.7	15.5	
3.2	15.5	5.7	10.6	
5.7	-1.7	-4.1	-1.7	
15.5	10.6	10.6	-6.6	
-6.6	-16.4	-1.7	-4.1	
3.2	-38.6	10.6	-11.5	
5.7	-31.2	13.1	5.7	
15.5	-4.1	3.2	3.2	
22.9	10.6	5.7	10.6	
30.3	54.9	18.0	-1.7	
15.5	86.9	5.7	-6.6	
30.3	101.6	3.2	-4.1	
37.7	104.1	3.2	0.8	
22.9	99.2	3.2	15.5	
25.4	82.0	0.8	8.2	
25.4	74.6	20.5	8.2	
18.0	72.1	8.2	0.8	
27.8	59.8	3.2	-9.1	
18.0	67.2	0.8	-6.6	
35.2	67.2	0.8	-6.6	
22.9	37.7	-4.1	5.7	
15.5	22.9	0.8	3.2	
27.8	30.3	5.7	-1.7	
20.5	27.8	8.2	13.1	
13.1	32.8	0.8	5.7	
13.1	30.3	18.0	5.7	
22.9	50.0	5.7	3.2	
15.5	25.4	8.2	-9.1	
22.9	32.8	0.8	-11.5	
10.6	35.2	5.7	-6.6	
13.1	27.8	0.8	22.9	
15.5	18.0	-1.7	13.1	
22.9	27.8	8.2	18.0	
10.6	37.7	8.2	15.5	
-1.7	22.9	15.5	-1.7	
5.7	27.8	20.5	5.7	
20.5	18.0	3.2	-9.1	
18.0	25.4	3.2	3.2	
13.1	20.5	-1.7	10.6	
20.5	27.8	3.2	5.7	
25.4	20.5	0.8	-11.5	
15.5	18.0	10.6	3.2	
30.3	30.3	-6.6	5.7	
32.8	5.7	-4.1	-9.1	
3.2	27.8	5.7	-9.1	
-6.6	45.1	-6.6	10.6	
13.1	37.7	5.7	20.5	
20.5	32.8	3.2	13.1	
27.8	8.2	8.2	-1.7	
18.0	-21.4	3.2	-4.1	
25.4	5.7	-1.7	-6.6	
8.2	74.6	-1.7	-6.6	
3.2	72.1	3.2	18.0	
0.8	54.9	-1.7	18.0	
-4.1	22.9	10.6	10.6	
-6.6	27.8	8.2	0.8	
18.0	20.5	5.7	0.8	
20.5	25.4	8.2	-4.1	
25.4	20.5	10.6	8.2	
22.9	18.0	8.2	3.2	
18.0	32.8	5.7	10.6	
25.4	22.9	5.7	-1.7	
35.2	35.2	13.1	-6.6	
40.1	57.4	15.5	-1.7	
15.5	47.5	10.6	-6.6	
18.0	30.3	0.8	8.2	
-1.7	27.8	8.2	3.2	
-18.9	22.9	15.5	0.8	
-23.8	25.4	8.2	-1.7	
-36.1	13.1	0.8	-4.1	
-33.7	25.4	3.2	0.8	
-4.1	15.5	5.7	8.2	
-1.7	8.2	0.8	-4.1	
13.1	-1.7	-1.7	-9.1	
20.5	-6.6	10.6	8.2	
52.4	-9.1	-4.1	0.8	
67.2	18.0	-4.1	3.2	
47.5	62.3	0.8	-1.7	
22.9	72.1	-6.6	5.7	
13.1	79.5	13.1	0.8	
32.8	47.5	10.6	0.8	
-1.7	42.6	10.6	0.8	
3.2	59.8	10.6	-4.1	
3.2	64.7	5.7	5.7	
3.2	45.1	3.2	0.8	
13.1	47.5	8.2	-18.9	
20.5	35.2	10.6	-6.6	
8.2	50.0	10.6	-18.9	
13.1	62.3	13.1	5.7	
10.6	52.4	15.5	3.2	
5.7	32.8	-1.7	20.5	
5.7	30.3	18.0	18.0	
27.8	0.8	5.7	10.6	
27.8	-1.7	-9.1	8.2	
22.9	13.1	13.1	8.2	
13.1	15.5	15.5	13.1	
10.6	25.4	5.7	8.2	
3.2	25.4	3.2	3.2	
10.6	13.1	5.7	-6.6	
18.0	25.4	8.2	-11.5	
20.5	40.1	5.7	20.5	
