sensor1	sensor2	sensor3	sensor4	
-198.5	54.9	-33.7	-16.4	
-154.2	32.8	-21.4	-6.6	
-132.1	42.6	10.6	-33.7	
-139.4	40.1	30.3	-21.4	
-1.7	27.8	45.1	3.2	
202.5	30.3	13.1	-6.6	
190.2	27.8	40.1	-1.7	
133.6	30.3	18.0	-14.0	
-82.9	22.9	27.8	-16.4	
-296.9	18.0	22.9	5.7	
-429.7	22.9	59.8	-14.0	
-230.5	35.2	50.0	-6.6	
-151.7	27.8	52.4	10.6	
-46.0	32.8	54.9	0.8	
145.9	30.3	-23.8	3.2	
384.5	27.8	-18.9	-1.7	
497.7	18.0	-11.5	5.7	
441.1	40.1	18.0	13.1	
315.7	32.8	69.7	25.4	
-82.9	32.8	57.4	25.4	
-321.5	32.8	59.8	8.2	
-250.1	25.4	-23.8	20.5	
-134.5	35.2	-63.2	35.2	
-188.6	25.4	-53.3	25.4	
-4.1	27.8	-21.4	3.2	
209.9	32.8	-9.1	15.5	
264.0	30.3	10.6	30.3	
229.6	30.3	10.6	15.5	
13.1	27.8	40.1	8.2	
-200.9	27.8	59.8	3.2	
-80.4	27.8	47.5	-23.8	
-41.0	27.8	37.7	-21.4	
-70.6	30.3	32.8	5.7	
-46.0	35.2	35.2	5.7	
-169.0	32.8	37.7	0.8	
-169.0	40.1	35.2	8.2	
-109.9	27.8	10.6	0.8	
-95.2	27.8	37.7	8.2	
-164.0	15.5	89.3	5.7	
-31.2	25.4	89.3	3.2	
123.8	37.7	94.3	3.2	
67.2	18.0	111.5	13.1	
-11.5	27.8	59.8	18.0	
118.9	25.4	-33.7	15.5	
411.6	20.5	-16.4	18.0	
298.4	37.7	-144.4	8.2	
-36.1	27.8	-191.1	8.2	
-129.6	37.7	-122.2	5.7	
-469.1	32.8	-38.6	18.0	
-427.3	20.5	5.7	30.3	
-188.6	27.8	25.4	13.1	
-228.0	37.7	42.6	18.0	
-355.9	25.4	22.9	45.1	
-223.1	35.2	10.6	45.1	
64.7	32.8	20.5	22.9	
256.6	25.4	15.5	59.8	
234.5	18.0	-6.6	52.4	
158.2	37.7	-6.6	18.0	
113.9	27.8	-4.1	0.8	
101.6	22.9	-6.6	8.2	
52.4	18.0	22.9	0.8	
-6.6	27.8	20.5	13.1	
-277.2	37.7	5.7	18.0	
-309.2	27.8	-1.7	5.7	
-242.8	25.4	8.2	-28.7	
-87.8	32.8	-1.7	-46.0	
86.9	32.8	3.2	-26.3	
190.2	35.2	5.7	-4.1	
229.6	35.2	0.8	-1.7	
217.3	30.3	8.2	8.2	
145.9	32.8	-18.9	5.7	
15.5	35.2	-14.0	3.2	
74.6	35.2	-14.0	13.1	
-82.9	37.7	-1.7	15.5	
-203.4	37.7	-23.8	20.5	
-48.4	32.8	-41.0	18.0	
104.1	37.7	13.1	3.2	
170.5	32.8	67.2	15.5	
195.1	27.8	113.9	0.8	
214.8	37.7	94.3	8.2	
217.3	27.8	79.5	3.2	
101.6	32.8	3.2	3.2	
-18.9	10.6	-23.8	15.5	
-301.8	13.1	-55.8	18.0	
-629.0	22.9	-38.6	10.6	
-724.9	30.3	-28.7	18.0	
-304.3	20.5	-14.0	20.5	
62.3	15.5	-4.1	15.5	
187.7	20.5	0.8	22.9	
84.4	25.4	-4.1	0.8	
-296.9	8.2	0.8	0.8	
-252.6	25.4	20.5	5.7	
-173.9	32.8	0.8	13.1	
-92.7	40.1	-18.9	25.4	
-90.2	47.5	-18.9	3.2	
-46.0	35.2	-38.6	18.0	
126.2	32.8	20.5	22.9	
101.6	32.8	18.0	8.2	
13.1	37.7	-21.4	8.2	
8.2	10.6	15.5	5.7	
72.1	22.9	64.7	5.7	
136.1	30.3	86.9	-1.7	
212.3	32.8	91.8	13.1	
298.4	25.4	54.9	18.0	
182.8	35.2	40.1	13.1	
145.9	8.2	-48.4	10.6	
-16.4	27.8	5.7	5.7	
-272.3	35.2	96.7	-1.7	
-346.1	30.3	82.0	10.6	
-171.4	27.8	45.1	13.1	
-176.3	27.8	57.4	18.0	
-109.9	25.4	-36.1	10.6	
-50.9	22.9	-36.1	10.6	
-73.0	25.4	-60.7	25.4	
-43.5	27.8	-41.0	32.8	
40.1	20.5	-36.1	-14.0	
37.7	18.0	-4.1	13.1	
207.4	27.8	35.2	13.1	
278.8	20.5	13.1	18.0	
337.8	20.5	18.0	18.0	
369.8	27.8	5.7	-1.7	
180.4	30.3	5.7	-16.4	
67.2	30.3	13.1	-9.1	
-146.8	30.3	8.2	5.7	
-223.1	30.3	22.9	3.2	
3.2	35.2	25.4	8.2	
246.8	37.7	-9.1	0.8	
293.5	25.4	-23.8	8.2	
-80.4	37.7	-21.4	-31.2	
-415.0	30.3	-4.1	-11.5	
-589.6	35.2	3.2	5.7	
-545.3	25.4	18.0	-6.6	
-405.1	32.8	15.5	-16.4	
-139.4	22.9	18.0	-9.1	
197.6	32.8	18.0	-11.5	
505.1	22.9	8.2	0.8	
559.2	13.1	10.6	3.2	
448.5	20.5	45.1	10.6	
288.6	27.8	77.0	-1.7	
32.8	27.8	69.7	-6.6	
-146.8	37.7	10.6	-16.4	
-333.8	35.2	-26.3	-21.4	
-341.2	20.5	-65.6	3.2	
-294.4	18.0	-137.0	-11.5	
-70.6	22.9	-68.1	3.2	
3.2	25.4	-33.7	5.7	
-200.9	13.1	-9.1	-9.1	
-292.0	27.8	-4.1	-1.7	
-353.5	27.8	20.5	3.2	
-365.8	30.3	10.6	5.7	
-149.3	27.8	25.4	5.7	
40.1	15.5	37.7	5.7	
