sensor1	sensor5	sensor7	sensor8	
10.6	-31.2	3.2	-208.3	
20.5	-18.9	-11.5	-193.6	
22.9	-9.1	-4.1	-154.2	
25.4	-1.7	18.0	-215.7	
15.5	13.1	27.8	-282.1	
18.0	13.1	54.9	-247.7	
8.2	27.8	69.7	-228.0	
5.7	32.8	113.9	-156.7	
15.5	35.2	136.1	-95.2	
0.8	35.2	168.1	-117.3	
18.0	42.6	195.1	-132.1	
27.8	54.9	236.9	-250.1	
18.0	42.6	286.1	-191.1	
10.6	54.9	330.4	-191.1	
13.1	52.4	401.8	-242.8	
30.3	57.4	465.7	-284.6	
5.7	59.8	566.6	-422.3	
8.2	54.9	652.7	-552.7	
5.7	62.3	758.5	-702.8	
0.8	59.8	827.3	-771.7	
-1.7	74.6	879.0	-884.8	
-9.1	64.7	984.8	-1061.9	
0.8	54.9	1095.5	-1175.1	
-11.5	57.4	1171.7	-1283.3	
-14.0	67.2	1198.8	-1305.5	
-4.1	72.1	1260.3	-1300.6	
-1.7	69.7	1363.6	-1177.6	
5.7	74.6	1432.5	-1086.5	
13.1	82.0	1348.9	-988.1	
13.1	101.6	1307.0	-806.1	
25.4	133.6	1302.1	-597.0	
20.5	158.2	1260.3	-395.3	
18.0	219.7	1238.2	-154.2	
3.2	310.7	1248.0	59.8	
-11.5	539.5	1208.6	241.9	
0.8	13.1	1139.8	431.3	
0.8	-1396.5	1031.5	559.2	
13.1	-1713.8	911.0	650.2	
13.1	-1369.4	773.2	721.6	
18.0	-700.3	556.7	704.3	
37.7	-260.0	416.5	596.1	
40.1	-16.4	276.3	478.0	
32.8	197.6	-63.2	534.6	
25.4	352.6	-592.1	502.6	
5.7	527.2	-1224.3	438.7	
-4.1	640.4	-1841.8	401.8	
8.2	726.5	-2392.8	391.9	
8.2	832.3	-2860.2	332.9	
0.8	861.8	-3199.7	227.1	
-6.6	815.0	-3455.5	163.1	
-1.7	731.4	-3669.5	109.0	
3.2	620.7	-3809.8	57.4	
0.8	514.9	-3859.0	8.2	
0.8	399.3	-3849.1	-38.6	
5.7	249.2	-3748.3	-65.6	
5.7	104.1	-3576.1	-90.2	
10.6	-23.8	-3256.3	-85.3	
15.5	-127.1	-2865.1	-58.3	
18.0	-178.8	-2466.6	10.6	
13.1	-223.1	-2048.4	74.6	
18.0	-218.2	-1657.3	229.6	
27.8	-205.9	-1276.0	315.7	
30.3	-178.8	-938.9	254.2	
18.0	-159.1	-638.8	232.0	
8.2	-117.3	-363.3	187.7	
15.5	-70.6	-114.8	268.9	
15.5	-55.8	91.8	355.0	
13.1	-18.9	271.4	404.2	
15.5	8.2	446.0	455.9	
18.0	22.9	576.4	421.4	
3.2	30.3	677.3	367.3	
5.7	37.7	743.7	330.4	
5.7	5.7	738.8	273.8	
-1.7	-18.9	724.0	185.3	
13.1	-38.6	697.0	165.6	
15.5	-73.0	645.3	136.1	
15.5	-134.5	601.0	77.0	
8.2	-173.9	554.3	57.4	
5.7	-210.8	512.5	15.5	
10.6	-267.4	480.5	-26.3	
8.2	-299.3	438.7	-38.6	
-4.1	-299.3	433.7	-28.7	
0.8	-338.7	446.0	-4.1	
-1.7	-348.5	416.5	57.4	
3.2	-360.8	401.8	128.7	
13.1	-373.1	335.3	136.1	
-1.7	-355.9	266.5	25.4	
5.7	-351.0	180.4	-31.2	
0.8	-341.2	118.9	30.3	
32.8	-319.0	82.0	-31.2	
40.1	-309.2	42.6	-127.1	
13.1	-287.0	8.2	-23.8	
-6.6	-264.9	-46.0	62.3	
20.5	-237.8	-90.2	72.1	
