sensor1	sensor2	sensor3	sensor4	
175.4	35.2	50.0	25.4	
214.8	52.4	22.9	-18.9	
217.3	42.6	35.2	-60.7	
192.7	50.0	22.9	-28.7	
96.7	32.8	10.6	-23.8	
-41.0	42.6	-1.7	-14.0	
-109.9	52.4	10.6	0.8	
-41.0	27.8	-1.7	-11.5	
-33.7	40.1	8.2	-14.0	
-90.2	30.3	20.5	3.2	
-151.7	22.9	64.7	20.5	
-149.3	18.0	13.1	27.8	
-169.0	27.8	-6.6	27.8	
-43.5	45.1	3.2	30.3	
141.0	35.2	30.3	35.2	
214.8	45.1	25.4	45.1	
123.8	54.9	13.1	32.8	
-1.7	52.4	10.6	40.1	
-80.4	45.1	8.2	74.6	
-117.3	50.0	-16.4	32.8	
-50.9	42.6	-31.2	-23.8	
-33.7	45.1	-16.4	-53.3	
-50.9	62.3	5.7	3.2	
-97.6	52.4	13.1	40.1	
-102.5	67.2	15.5	-4.1	
-26.3	67.2	27.8	-4.1	
15.5	45.1	18.0	-4.1	
42.6	50.0	5.7	3.2	
15.5	50.0	-11.5	-6.6	
15.5	37.7	-28.7	-1.7	
15.5	32.8	-38.6	-16.4	
20.5	40.1	-36.1	86.9	
0.8	32.8	-28.7	79.5	
13.1	20.5	-28.7	82.0	
64.7	25.4	-14.0	101.6	
67.2	22.9	-11.5	121.3	
47.5	35.2	-11.5	3.2	
13.1	45.1	3.2	-186.2	
3.2	47.5	35.2	-228.0	
-14.0	52.4	30.3	-159.1	
-6.6	57.4	20.5	-154.2	
0.8	50.0	13.1	-82.9	
-1.7	25.4	-1.7	-28.7	
-9.1	37.7	-1.7	190.2	
-38.6	20.5	-11.5	256.6	
-14.0	30.3	-16.4	116.4	
62.3	22.9	0.8	22.9	
50.0	22.9	8.2	-33.7	
86.9	40.1	3.2	-31.2	
106.6	54.9	0.8	-100.1	
96.7	42.6	3.2	-77.9	
94.3	47.5	18.0	5.7	
96.7	47.5	8.2	-1.7	
131.2	47.5	-11.5	-63.2	
86.9	50.0	-23.8	-50.9	
