sensor1	sensor2	sensor3	sensor4	
5.7	30.3	-21.4	8.2	
5.7	22.9	-38.6	8.2	
-1.7	22.9	-14.0	0.8	
10.6	22.9	3.2	3.2	
3.2	18.0	13.1	5.7	
3.2	18.0	37.7	5.7	
0.8	22.9	57.4	-4.1	
0.8	22.9	74.6	0.8	
15.5	35.2	64.7	-16.4	
8.2	32.8	69.7	-11.5	
18.0	22.9	40.1	-4.1	
22.9	35.2	35.2	-9.1	
25.4	40.1	27.8	-18.9	
22.9	30.3	-1.7	-26.3	
22.9	18.0	-14.0	-14.0	
18.0	35.2	-31.2	-14.0	
20.5	30.3	-16.4	-16.4	
15.5	32.8	-14.0	3.2	
20.5	25.4	15.5	-9.1	
22.9	37.7	22.9	-9.1	
20.5	30.3	13.1	0.8	
18.0	32.8	22.9	8.2	
15.5	37.7	35.2	15.5	
25.4	35.2	47.5	10.6	
27.8	37.7	20.5	-6.6	
10.6	30.3	-1.7	-33.7	
20.5	22.9	-48.4	-1.7	
20.5	37.7	-36.1	10.6	
15.5	35.2	37.7	0.8	
22.9	40.1	62.3	13.1	
27.8	35.2	72.1	-9.1	
18.0	32.8	77.0	-11.5	
8.2	32.8	69.7	10.6	
15.5	40.1	45.1	8.2	
18.0	42.6	35.2	20.5	
10.6	40.1	5.7	0.8	
10.6	47.5	-6.6	0.8	
13.1	52.4	15.5	32.8	
15.5	52.4	32.8	22.9	
13.1	54.9	22.9	22.9	
25.4	37.7	13.1	18.0	
22.9	42.6	13.1	18.0	
20.5	45.1	18.0	25.4	
27.8	45.1	10.6	-1.7	
18.0	45.1	-9.1	-36.1	
18.0	50.0	18.0	-16.4	
25.4	35.2	10.6	-14.0	
25.4	45.1	-28.7	-16.4	
15.5	47.5	-33.7	-14.0	
22.9	45.1	15.5	5.7	
18.0	50.0	35.2	0.8	
10.6	40.1	25.4	-9.1	
22.9	32.8	25.4	-6.6	
30.3	32.8	25.4	0.8	
25.4	45.1	3.2	-9.1	
10.6	35.2	3.2	-18.9	
8.2	37.7	-1.7	0.8	
15.5	37.7	-18.9	-21.4	
22.9	35.2	-1.7	-48.4	
22.9	37.7	25.4	-1.7	
18.0	37.7	35.2	5.7	
20.5	42.6	22.9	22.9	
25.4	37.7	5.7	42.6	
20.5	27.8	8.2	13.1	
22.9	35.2	18.0	-1.7	
15.5	42.6	15.5	-26.3	
27.8	47.5	-16.4	-16.4	
27.8	40.1	-31.2	-6.6	
32.8	37.7	-21.4	3.2	
13.1	47.5	0.8	-4.1	
18.0	37.7	3.2	-9.1	
20.5	40.1	-16.4	13.1	
25.4	42.6	-21.4	13.1	
15.5	32.8	-11.5	18.0	
22.9	42.6	-4.1	15.5	
32.8	45.1	-9.1	5.7	
22.9	37.7	5.7	5.7	
22.9	35.2	-16.4	37.7	
25.4	32.8	-38.6	-6.6	
25.4	27.8	-43.5	-26.3	
32.8	40.1	-46.0	-11.5	
22.9	37.7	-21.4	-1.7	
22.9	32.8	-26.3	-11.5	
32.8	35.2	-53.3	-21.4	
20.5	32.8	-70.6	0.8	
13.1	35.2	-55.8	8.2	
20.5	35.2	-36.1	-6.6	
22.9	35.2	-36.1	-9.1	
15.5	35.2	-41.0	-6.6	
22.9	22.9	-46.0	5.7	
15.5	32.8	-11.5	5.7	
27.8	40.1	5.7	13.1	
25.4	42.6	18.0	10.6	
18.0	40.1	37.7	10.6	
20.5	42.6	37.7	8.2	
20.5	40.1	15.5	13.1	
18.0	32.8	-4.1	32.8	
27.8	35.2	-1.7	25.4	
20.5	22.9	-1.7	10.6	
22.9	35.2	-23.8	18.0	
13.1	30.3	-28.7	18.0	
15.5	30.3	-26.3	25.4	
15.5	22.9	-9.1	15.5	
5.7	25.4	3.2	30.3	
3.2	27.8	-4.1	18.0	
15.5	22.9	-48.4	18.0	
8.2	18.0	-46.0	13.1	
8.2	18.0	-6.6	8.2	
13.1	30.3	8.2	5.7	
18.0	25.4	30.3	5.7	
22.9	15.5	27.8	0.8	
18.0	22.9	37.7	-11.5	
0.8	27.8	54.9	5.7	
10.6	27.8	30.3	5.7	
15.5	32.8	37.7	10.6	
15.5	32.8	72.1	10.6	
15.5	37.7	67.2	3.2	
8.2	32.8	-14.0	0.8	
-1.7	45.1	-63.2	13.1	
0.8	32.8	-31.2	15.5	
13.1	32.8	-9.1	10.6	
8.2	42.6	22.9	20.5	
0.8	32.8	37.7	22.9	
3.2	32.8	20.5	10.6	
8.2	32.8	32.8	15.5	
8.2	25.4	47.5	18.0	
10.6	25.4	67.2	22.9	
5.7	27.8	67.2	22.9	
20.5	32.8	72.1	13.1	
20.5	37.7	64.7	18.0	
18.0	35.2	59.8	15.5	
10.6	37.7	35.2	18.0	
5.7	22.9	27.8	3.2	
5.7	27.8	22.9	20.5	
5.7	35.2	40.1	20.5	
8.2	25.4	47.5	8.2	
8.2	32.8	50.0	3.2	
-4.1	30.3	35.2	-1.7	
3.2	22.9	25.4	-9.1	
10.6	25.4	35.2	-6.6	
0.8	22.9	25.4	-9.1	
-4.1	20.5	35.2	-6.6	
3.2	20.5	22.9	-9.1	
0.8	22.9	32.8	-9.1	
5.7	18.0	18.0	-4.1	
13.1	22.9	25.4	-6.6	
27.8	25.4	13.1	-1.7	
5.7	27.8	15.5	-9.1	
3.2	32.8	0.8	8.2	
5.7	32.8	-16.4	-1.7	
10.6	45.1	-21.4	0.8	
3.2	27.8	-9.1	5.7	
-1.7	18.0	-14.0	0.8	
-4.1	40.1	-1.7	-1.7	
0.8	25.4	0.8	10.6	
8.2	40.1	22.9	-4.1	
10.6	27.8	-6.6	3.2	
8.2	30.3	-21.4	0.8	
-1.7	32.8	-55.8	3.2	
8.2	40.1	-112.4	18.0	
18.0	25.4	-70.6	-6.6	
-1.7	37.7	-26.3	0.8	
-9.1	27.8	-4.1	5.7	
-1.7	25.4	5.7	-6.6	
5.7	32.8	5.7	-23.8	
0.8	35.2	5.7	-6.6	
13.1	25.4	-1.7	-9.1	
20.5	37.7	-1.7	-9.1	
10.6	27.8	3.2	10.6	
3.2	37.7	-6.6	27.8	
-6.6	22.9	-11.5	27.8	
-1.7	40.1	3.2	15.5	
0.8	22.9	-6.6	5.7	
0.8	37.7	-16.4	10.6	
-1.7	47.5	-41.0	-6.6	
0.8	35.2	-9.1	10.6	
5.7	35.2	-1.7	-11.5	
0.8	35.2	32.8	-11.5	
-1.7	32.8	37.7	-26.3	
0.8	27.8	-1.7	-26.3	
-1.7	32.8	10.6	-14.0	
13.1	40.1	52.4	22.9	
15.5	27.8	72.1	8.2	
18.0	40.1	69.7	5.7	
5.7	35.2	50.0	-6.6	
5.7	32.8	8.2	-23.8	
5.7	27.8	-33.7	-14.0	
20.5	20.5	-43.5	-6.6	
25.4	15.5	-53.3	10.6	
25.4	27.8	-38.6	-4.1	
20.5	30.3	-41.0	0.8	
18.0	32.8	-23.8	15.5	
22.9	32.8	-1.7	15.5	
18.0	32.8	10.6	10.6	
13.1	32.8	8.2	-6.6	
13.1	35.2	-6.6	-9.1	
18.0	30.3	-9.1	-18.9	
8.2	22.9	-4.1	-14.0	
18.0	32.8	-11.5	15.5	
18.0	25.4	3.2	20.5	
25.4	22.9	-9.1	45.1	
18.0	22.9	13.1	45.1	
20.5	37.7	15.5	13.1	
27.8	27.8	-9.1	27.8	
22.9	37.7	-9.1	-11.5	
27.8	32.8	13.1	-63.2	
10.6	30.3	-14.0	-36.1	
18.0	32.8	-33.7	-6.6	
