sensor1	sensor2	sensor3	sensor4	
96.7	25.4	-6.6	0.8	
25.4	25.4	-21.4	5.7	
8.2	30.3	-9.1	10.6	
-28.7	25.4	-18.9	15.5	
-77.9	20.5	-16.4	10.6	
-225.5	13.1	-11.5	-1.7	
-299.3	13.1	-16.4	-6.6	
-311.6	27.8	-21.4	-1.7	
-220.6	35.2	-1.7	-21.4	
-210.8	22.9	8.2	3.2	
-378.1	32.8	13.1	22.9	
-464.2	32.8	8.2	15.5	
-378.1	42.6	8.2	37.7	
-178.8	45.1	-16.4	22.9	
54.9	37.7	-6.6	-4.1	
155.8	37.7	-1.7	5.7	
187.7	45.1	-6.6	20.5	
207.4	30.3	-11.5	20.5	
200.0	35.2	0.8	20.5	
187.7	35.2	13.1	5.7	
170.5	37.7	27.8	5.7	
15.5	35.2	18.0	-9.1	
25.4	40.1	-11.5	-4.1	
-50.9	22.9	-31.2	5.7	
-309.2	30.3	-31.2	8.2	
-387.9	30.3	-60.7	0.8	
-456.8	20.5	-36.1	5.7	
-572.4	30.3	20.5	-1.7	
-437.1	27.8	62.3	3.2	
-166.5	32.8	72.1	0.8	
50.0	27.8	47.5	5.7	
207.4	25.4	54.9	0.8	
315.7	32.8	40.1	5.7	
404.2	32.8	0.8	0.8	
286.1	37.7	-11.5	0.8	
160.7	32.8	-1.7	8.2	
50.0	30.3	0.8	5.7	
-41.0	27.8	-38.6	3.2	
-132.1	42.6	-48.4	5.7	
-432.2	37.7	-4.1	-4.1	
-707.7	37.7	-31.2	5.7	
-661.0	18.0	-53.3	-6.6	
-439.6	22.9	-87.8	3.2	
-90.2	32.8	-55.8	-4.1	
160.7	37.7	3.2	13.1	
271.4	35.2	5.7	15.5	
332.9	35.2	-6.6	3.2	
232.0	35.2	27.8	15.5	
47.5	30.3	20.5	15.5	
-75.5	40.1	18.0	5.7	
-203.4	30.3	42.6	3.2	
-218.2	37.7	79.5	5.7	
-109.9	47.5	111.5	5.7	
-41.0	32.8	109.0	3.2	
-232.9	35.2	64.7	13.1	
-437.1	13.1	37.7	20.5	
-587.2	35.2	35.2	8.2	
-424.8	35.2	13.1	18.0	
-188.6	32.8	-21.4	22.9	
-28.7	45.1	-33.7	20.5	
104.1	35.2	5.7	8.2	
374.7	25.4	20.5	5.7	
399.3	20.5	59.8	0.8	
394.4	25.4	69.7	-1.7	
406.7	20.5	59.8	13.1	
259.1	18.0	47.5	0.8	
96.7	27.8	-11.5	10.6	
-26.3	50.0	-21.4	8.2	
-107.5	25.4	-38.6	5.7	
-151.7	25.4	-26.3	8.2	
-161.6	22.9	-14.0	10.6	
-169.0	40.1	-26.3	8.2	
-203.4	35.2	-1.7	8.2	
-223.1	32.8	20.5	3.2	
-235.4	27.8	15.5	5.7	
-264.9	27.8	3.2	3.2	
-257.5	30.3	-41.0	3.2	
-129.6	27.8	-23.8	5.7	
-48.4	25.4	-33.7	3.2	
-97.6	40.1	-26.3	-9.1	
-122.2	45.1	13.1	-1.7	
-107.5	35.2	27.8	-9.1	
-159.1	32.8	37.7	-16.4	
-191.1	30.3	50.0	-14.0	
-220.6	35.2	-6.6	0.8	
-262.4	40.1	0.8	10.6	
-287.0	32.8	20.5	25.4	
-264.9	20.5	-9.1	57.4	
-301.8	22.9	-48.4	27.8	
-503.5	40.1	-38.6	0.8	
-742.1	32.8	-6.6	-4.1	
-1052.1	15.5	-9.1	25.4	
-1199.7	30.3	18.0	18.0	
-1113.6	22.9	57.4	18.0	
-825.8	22.9	54.9	13.1	
-523.2	20.5	84.4	10.6	
-360.8	20.5	45.1	13.1	
-65.6	45.1	-50.9	5.7	
266.5	37.7	-63.2	3.2	
342.7	27.8	-18.9	0.8	
446.0	10.6	-9.1	15.5	
576.4	32.8	8.2	30.3	
409.1	42.6	5.7	15.5	
224.6	32.8	15.5	13.1	
202.5	18.0	40.1	20.5	
136.1	42.6	72.1	8.2	
77.0	47.5	0.8	-21.4	
13.1	45.1	-36.1	-4.1	
-77.9	52.4	-18.9	-31.2	
-124.7	50.0	-1.7	-48.4	
-230.5	37.7	5.7	-68.1	
-260.0	32.8	-1.7	-65.6	
-262.4	27.8	-4.1	-43.5	
-220.6	27.8	-6.6	10.6	
-161.6	42.6	-9.1	94.3	
-75.5	27.8	-6.6	86.9	
-75.5	25.4	10.6	54.9	
-146.8	32.8	20.5	0.8	
-205.9	32.8	20.5	-14.0	
-262.4	30.3	22.9	15.5	
-277.2	30.3	15.5	82.0	
-279.7	35.2	32.8	77.0	
-309.2	25.4	8.2	30.3	
-333.8	22.9	3.2	35.2	
-328.9	27.8	-11.5	13.1	
-319.0	22.9	-11.5	-6.6	
-304.3	3.2	-28.7	-18.9	
-292.0	18.0	-9.1	-18.9	
-353.5	35.2	0.8	-23.8	
-476.5	35.2	-60.7	0.8	
-688.0	54.9	-41.0	8.2	
-828.2	42.6	30.3	3.2	
-702.8	47.5	62.3	5.7	
-449.4	37.7	40.1	-1.7	
-237.8	22.9	37.7	3.2	
-232.9	22.9	25.4	-9.1	
-272.3	18.0	35.2	-36.1	
-85.3	18.0	13.1	-53.3	
126.2	8.2	8.2	-58.3	
123.8	22.9	-1.7	-73.0	
0.8	18.0	18.0	-14.0	
-92.7	32.8	50.0	104.1	
-277.2	30.3	37.7	77.0	
-407.6	27.8	18.0	62.3	
-432.2	32.8	40.1	18.0	
-488.8	35.2	40.1	20.5	
-442.0	47.5	37.7	5.7	
-360.8	45.1	25.4	-6.6	
-129.6	35.2	5.7	-23.8	
143.5	45.1	-6.6	-16.4	
35.2	45.1	10.6	-14.0	
-159.1	52.4	8.2	18.0	
-442.0	35.2	0.8	35.2	
-734.8	40.1	-4.1	74.6	
-904.5	27.8	-16.4	64.7	
-988.1	18.0	-16.4	72.1	
-835.6	27.8	-26.3	54.9	
-668.3	30.3	-18.9	-11.5	
-373.1	22.9	-21.4	-70.6	
-178.8	30.3	-16.4	-53.3	
32.8	40.1	15.5	10.6	
173.0	30.3	25.4	25.4	
259.1	22.9	42.6	18.0	
281.2	30.3	22.9	13.1	
232.0	40.1	15.5	13.1	
128.7	25.4	30.3	10.6	
-149.3	32.8	37.7	0.8	
-412.5	22.9	15.5	8.2	
-498.6	20.5	-14.0	3.2	
-545.3	30.3	-21.4	18.0	
-471.5	22.9	-41.0	20.5	
-353.5	25.4	-53.3	8.2	
-311.6	40.1	-16.4	18.0	
-188.6	42.6	27.8	-1.7	
-4.1	32.8	96.7	-9.1	
131.2	40.1	121.3	0.8	
180.4	18.0	74.6	0.8	
197.6	35.2	35.2	3.2	
109.0	13.1	-9.1	0.8	
-4.1	20.5	-21.4	8.2	
-117.3	32.8	-46.0	-1.7	
-164.0	30.3	-85.3	5.7	
-191.1	25.4	-63.2	-14.0	
-220.6	35.2	-9.1	-11.5	
-314.1	37.7	-1.7	-28.7	
-351.0	50.0	-6.6	-38.6	
-333.8	25.4	-16.4	-43.5	
-319.0	25.4	-16.4	-38.6	
-218.2	30.3	18.0	0.8	
-169.0	35.2	52.4	5.7	
-306.7	35.2	35.2	22.9	
-323.9	25.4	32.8	10.6	
-427.3	15.5	18.0	8.2	
-513.4	27.8	25.4	10.6	
-584.7	35.2	20.5	42.6	
-469.1	35.2	-21.4	77.0	
-240.3	22.9	-31.2	62.3	
-124.7	25.4	-21.4	42.6	
-11.5	37.7	-31.2	15.5	
-75.5	50.0	-33.7	-18.9	
-144.4	50.0	-38.6	-18.9	
-282.1	50.0	-6.6	3.2	
-341.2	25.4	30.3	47.5	
